src,dst,count
$36327407,@RamblingBrook,14
$36327407,@RahulGandhi,10
$36327407,@rahulsinghx,9
$36327407,@joydeepthakur,6
$36327407,@narendramodi,6
$36327407,@neerajwriting,6
$36327407,@sanjoy_dey25,5
$36327407,@asrao2009,4
$36327407,@realDonaldTrump,4
$36327407,@PrasunSonwalkar,4
$36327407,@utpal_parashar,4
$36327407,@capt_amarinder,3
$36327407,@htdelhi,3
$36327407,@jayashreenandi,3
$36327407,@Rezhasan,3
$36327407,@Bharati09,3
$36327407,@swaroop_vijay,3
$36327407,@naqshzeb,3
$36327407,@chetanecostani,3
$36327407,@htshowbiz,3
$36327407,@daskalyan09,3
$36327407,@priyankagandhi,3
$36327407,@subhashpathak,3
$36327407,@SamsungIndia,3
$36327407,@ThisissAbhi,2
$36327407,@amanshukla,2
$36327407,@vinayak_ramesh,2
$36327407,@ArvindKejriwal,2
$36327407,@ShreyasIyer15,2
$36327407,@htlifeandstyle,2
$36327407,@sanchx,2
$36327407,@ArunkrHt,2
$36327407,@HTSportsNews,2
$36327407,@HTPunjab,2
$36327407,@yashwantraj,2
$36327407,@debabrata2008,2
$36327407,@sunetrac,2
$36327407,@gautambhatia88,2
$36327407,@surajojhaa,2
$36327407,@myogiadityanath,2
$36327407,@legaljournalist,2
$36327407,@smritikak,1
$36327407,@ActorTonyLuke,1
$36327407,@ActorAliReza,1
$36327407,@spatranobis,1
$36327407,@khatau,1
$36327407,@charulpshah,1
$36327407,@kchaudhari744,1
$36327407,@BajajAllianzLIC,1
$36327407,@RichaBanka,1
$36327407,@PramodGiri1,1
$36327407,@ChatterjeeBadri,1
$36327407,@AnonnaDutt,1
$36327407,@SunRisers,1
$36327407,@undertecher,1
$36327407,@sidmallya,1
$36327407,@HTSmartcast,1
$36327407,@shruti26tomar,1
$36327407,@Thevarsteffy,1
$36327407,@deekbhardwaj,1
$36327407,@anirudhb,1
$36327407,@aashiqbhatt,1
$36327407,@ZEE5Premium,1
$36327407,@WHO,1
$36327407,@gernalist,1
$36327407,@Ta_rush,1
$36327407,@avinashdnr,1
$36327407,@Sunilrahar10,1
$36327407,@iamMadhuShalini,1
$36327407,@iamsnehaullal,1
$36327407,@mullickjamie,1
$36327407,@nsitharaman,1
$36327407,@HT_Ed,1
$36327407,@shankarmarthand,1
$36327407,@hthealthshots,1
