src,dst,count
$37034483,@arrahman,6
$37034483,@jsamdaniel,6
$37034483,@alok_pandey,6
$37034483,@TJhumroo,6
$37034483,@umasudhir,6
$37034483,@rohitkhilnani,6
$37034483,@CricketNDTV,5
$37034483,@SukirtiDwivedi,4
$37034483,@ChitnisPurva,2
$37034483,@nazir_masoodi,2
$37034483,@mrsfunnybones,2
$37034483,@RatnadipC,2
$37034483,@sanket,2
$37034483,@arvindgunasekar,2
$37034483,@MayaSharmaNDTV,2
$37034483,@harsha_ndtv,1
$37034483,@DefenceMinIndia,1
$37034483,@Sports_NDTV,1
$37034483,@narendramodi,1
$37034483,@Monideepa62,1
$37034483,@Sonal_MK,1
$37034483,@akhileshsharma1,1
$37034483,@carandbike,1
$37034483,@bainjal,1
$37034483,@ndtv,1
$37034483,@VishnuNDTV,1
$37034483,@NEETAS11,1
