src,dst,count
#Coronavirus,#COVID19,2247
#COVID19,#TrumpHasCovid,19517
#COVID19,#Trump,19504
#COVID19,#DonaldTrump,4087
#Coronavirus,#Iran,2172
#Iran,#MEK,2991
#Iran,#COVID19,283
#Iran,#China,146
#Coronavirus,#Covid19,932
#Covid19,#Trump,1150
#Covid19,#TrumpHasCovid,680
#Covid19,#Corona,271
#Covid19,#DonaldTrump,87
#Coronavirus,#Trump,685
#Trump,#TrumpHasCovid,24085
#Trump,#COVID19,19520
#Trump,#Corona,5801
#Trump,#DonaldTrump,2072
#Coronavirus,#Moria,660
#Moria,#KaraTepe,691
#Moria,#Samos,601
#Coronavirus,#MEK,609
#MEK,#Iran,1805
#MEK,#COVID19,125
#Coronavirus,#KaraTepe,600
#KaraTepe,#Moria,691
#KaraTepe,#Samos,541
#Coronavirus,#Samos,540
#Samos,#Moria,601
#Samos,#KaraTepe,601
#Samos,#Corona,1
#Coronavirus,#Corona,159
#Corona,#Trump,5801
#Corona,#COVID19,1886
#Corona,#Neuinfektionen,374
#Corona,#TrumpHasCovid,374
#Corona,#Covid19,176
#Coronavirus,#Neuinfektionen,97
#Neuinfektionen,#Corona,290
#Neuinfektionen,#COVID19,24
#Neuinfektionen,#Covid19,11
#Coronavirus,#TrumpHasCovid,73
#TrumpHasCovid,#Trump,23795
#TrumpHasCovid,#COVID19,19522
#TrumpHasCovid,#SuperSpreader,2969
#TrumpHasCovid,#DonaldTrump,2615
#Coronavirus,#Pandemic,40
#Pandemic,#COVID19,82
#Pandemic,#Covid19,30
#Pandemic,#Trump,9
#Coronavirus,#DonaldTrump,39
#DonaldTrump,#COVID19,4139
#DonaldTrump,#TrumpHasCovid,2615
#DonaldTrump,#Trump,2072
#DonaldTrump,#Covid19,87
#DonaldTrump,#Military,29
#Coronavirus,#News,36
#News,#AI,86
#News,#Technology,66
#News,#COVID19,27
#Coronavirus,#Protests,34
#Protests,#Iran,50
#Protests,#COVID19,30
#Protests,#News,4
#Protests,#Trump,2
#Coronavirus,#Military,31
#Military,#COVID19,102
#Military,#Trump,69
#Coronavirus,#indigenous,31
#Coronavirus,#China,30
#China,#COVID19,388
#Coronavirus,#Hamburg,26
#Hamburg,#Corona,8
#Hamburg,#News,7
#Coronavirus,#München,25
#München,#Corona,12
#München,#Hamburg,3
#Coronavirus,#Republican,25
#Republican,#Trump,32
#Republican,#Covid19,27
#Republican,#SuperSpreader,23
#Republican,#TrumpHasCovid,17
#Republican,#COVID19,10
#Republican,#Iran,7
#Coronavirus,#SuperSpreader,24
#SuperSpreader,#TrumpHasCovid,2969
#SuperSpreader,#COVID19,1006
#SuperSpreader,#Trump,348
#SuperSpreader,#Covid19,25
#SuperSpreader,#Republican,23
#Coronavirus,#Technology,24
#Technology,#AI,65
#Technology,#News,58
#Technology,#COVID19,28
#Technology,#Military,21
#Coronavirus,#PresidentTrump,24
#PresidentTrump,#TrumpHasCovid,948
#PresidentTrump,#Trump,24
#PresidentTrump,#COVID19,20
#Coronavirus,#AI,23
#AI,#Technology,230
#AI,#News,85
#AI,#COVID19,60
