src,dst,count
#EndSWAT,#EndSARS,4529
#EndSARS,#EndPoliceBrutality,1901
#EndSARS,#EndPoliceBrutalityinNigeria,1877
#EndSARS,#EndSarsNow,690
#EndSARS,#SARSMUSTEND,644
#EndSARS,#SARSMUSTENDNOW,642
#EndSARS,#SWAT,486
#EndSARS,#EndBadGovernanceinNIGERIA,460
#EndSARS,#ReformPoliceNG,408
#EndSARS,#SarsMustGoNow,211
#EndSARS,#iPhone12,177
#EndSARS,#wereydeydisguise,156
#EndSARS,#EndSARSBrutality,149
#EndSARS,#ENDSARSOPPRESSION,120
#EndSARS,#SWATMUSTENDNOW,111
#EndSARS,#SWATMUSTEND,92
#EndSARS,#sorosoke,92
#EndSARS,#SarsMustGo,90
#EndSARS,#YouthDemocraticParty,84
#EndSARS,#EndSars,77
#EndSARS,#EndBadGoveranceInNigeria,70
#EndSARS,#BuhariHasBeenABadBoy,66
#EndSARS,#endswatnow,45
#EndSARS,#SARMUSTEND,45
#EndSARS,#AppleEvent,43
#EndSWAT,#EndPoliceBrutalityinNigeria,2675
#EndPoliceBrutalityinNigeria,#EndSARS,2031
#EndPoliceBrutalityinNigeria,#SARSMUSTEND,557
#EndPoliceBrutalityinNigeria,#EndBadGovernanceinNIGERIA,547
#EndPoliceBrutalityinNigeria,#endswatnow,342
#EndPoliceBrutalityinNigeria,#EndSarsNow,329
#EndPoliceBrutalityinNigeria,#SARSMUSTENDNOW,305
#EndPoliceBrutalityinNigeria,#Alimoshoprotest,295
#EndPoliceBrutalityinNigeria,#SarsMustGoNow,263
#EndPoliceBrutalityinNigeria,#ENDSARSOPPRESSION,226
#EndPoliceBrutalityinNigeria,#SWATMUSTEND,156
#EndPoliceBrutalityinNigeria,#EndPoliceBrutality,133
#EndPoliceBrutalityinNigeria,#BuhariHasBeenABadBoy,111
#EndPoliceBrutalityinNigeria,#SarsMustGo,86
#EndPoliceBrutalityinNigeria,#EndSARSBrutality,82
#EndPoliceBrutalityinNigeria,#SWAT,70
#EndPoliceBrutalityinNigeria,#YouthDemocraticParty,69
#EndPoliceBrutalityinNigeria,#SWATMUSTENDNOW,65
#EndPoliceBrutalityinNigeria,#EndBadGoveranceInNigeria,63
#EndPoliceBrutalityinNigeria,#SARMUSTEND,51
#EndPoliceBrutalityinNigeria,#AppleEvent,49
#EndPoliceBrutalityinNigeria,#sorosoke,37
#EndPoliceBrutalityinNigeria,#EndSars,33
#EndSWAT,#SARSMUSTENDNOW,2283
#SARSMUSTENDNOW,#SARSMUSTEND,1632
#SARSMUSTENDNOW,#SarsMustGoNow,892
#SARSMUSTENDNOW,#EndSARS,670
#SARSMUSTENDNOW,#EndPoliceBrutalityinNigeria,305
#SARSMUSTENDNOW,#SWATMUSTEND,250
#SARSMUSTENDNOW,#SWAT,189
#SARSMUSTENDNOW,#EndBadGovernanceinNIGERIA,139
#SARSMUSTENDNOW,#EndSarsNow,125
#SARSMUSTENDNOW,#BuhariHasBeenABadBoy,94
#SARSMUSTENDNOW,#ENDSARSOPPRESSION,92
#SARSMUSTENDNOW,#AppleEvent,88
#SARSMUSTENDNOW,#SARMUSTEND,88
