src,dst,count
#SarsMustGoNow,#SARSMUSTEND,8742
#SARSMUSTEND,#SarsMustGo,42424
#SARSMUSTEND,#EndPoliceBrutalityinNigeria,37111
#SARSMUSTEND,#SURULEREPROTEST,35555
#SARSMUSTEND,#EndSARS,18148
#SARSMUSTEND,#EndSarsNow,9773
#SARSMUSTEND,#5for5,9121
#SARSMUSTEND,#SARSMUSTENDNOW,7153
#SARSMUSTEND,#EndPoliceBrutality,4290
#SARSMUSTEND,#Lekki,4242
#SARSMUSTEND,#ReformTheNigerianPolice,3317
#SARSMUSTEND,#EndPoliceBrutalitynow,1662
#SARSMUSTEND,#SARMUSTENDNOW,1510
#SARSMUSTEND,#SARSOUT,1075
#SARSMUSTEND,#Lekkitollgate,935
#SARSMUSTEND,#SARSENDED,838
#SARSMUSTEND,#EndASUUStrike,504
#SARSMUSTEND,#ReformNigeriaPolice,449
#SARSMUSTEND,#PoliceBrutalityInNigeria,316
#SARSMUSTEND,#unilag,301
#SarsMustGoNow,#SarsMustGo,6436
#SarsMustGo,#SARSMUSTEND,42496
#SarsMustGo,#EndSARS,25145
#SarsMustGo,#EndPoliceBrutalityinNigeria,7420
#SarsMustGo,#EndSarsNow,5926
#SarsMustGo,#5for5,5507
#SarsMustGo,#SARSENDED,3575
#SarsMustGo,#SARSMUSTENDNOW,3507
#SarsMustGo,#Lekki,2098
#SarsMustGo,#EndPoliceBrutality,859
#SarsMustGo,#SARMUSTENDNOW,771
#SarsMustGo,#SARSOUT,656
#SarsMustGo,#ReformTheNigerianPolice,562
#SarsMustGo,#SURULEREPROTEST,364
#SarsMustGo,#unilag,303
#SarsMustGo,#SarsAlert,194
#SarsMustGo,#togetherwecan,135
#SarsMustGo,#PoliceBrutalityInNigeria,126
#SarsMustGo,#signthepetition,121
#SarsMustGo,#prayerwalk,110
#SarsMustGo,#FreeOjahBee,106
#SarsMustGo,#EndASUUStrike,101
#SarsMustGo,#ReformNigeriaPolice,96
#SarsMustGo,#StopPoliceBrutalityinNigeria,79
#SarsMustGo,#EndAsuuStrikeNow,68
#SarsMustGo,#SARMUSTEND,60
#SarsMustGo,#5of5,56
#SarsMustGoNow,#EndPoliceBrutalityinNigeria,4431
#EndPoliceBrutalityinNigeria,#SARSMUSTEND,37135
#EndPoliceBrutalityinNigeria,#EndSarsNow,35656
#EndPoliceBrutalityinNigeria,#EndSARS,19226
#EndPoliceBrutalityinNigeria,#SarsMustGo,8043
#EndPoliceBrutalityinNigeria,#SARSMUSTENDNOW,4658
#EndPoliceBrutalityinNigeria,#EndPoliceBrutality,3024
#EndPoliceBrutalityinNigeria,#ReformTheNigerianPolice,1839
#EndPoliceBrutalityinNigeria,#SURULEREPROTEST,1142
#EndPoliceBrutalityinNigeria,#EnsSARS,768
#EndPoliceBrutalityinNigeria,#EndASUUStrike,665
#EndPoliceBrutalityinNigeria,#5for5,664
#EndPoliceBrutalityinNigeria,#EndAsuuStrikeNow,368
#EndPoliceBrutalityinNigeria,#SARMUSTENDNOW,359
#EndPoliceBrutalityinNigeria,#EndPoliceBrutalitynow,314
#EndPoliceBrutalityinNigeria,#signthepetition,278
#EndPoliceBrutalityinNigeria,#EndBadGovernanceinNIGERIA,234
#EndPoliceBrutalityinNigeria,#togetherwecan,115
#EndPoliceBrutalityinNigeria,#Lekki,112
#EndPoliceBrutalityinNigeria,#SARSENDED,92
#EndPoliceBrutalityinNigeria,#FreeOjahBee,89
#EndPoliceBrutalityinNigeria,#prayerwalk,65
#EndPoliceBrutalityinNigeria,#ReformNigeriaPolice,64
#EndPoliceBrutalityinNigeria,#5of5,45
#EndPoliceBrutalityinNigeria,#FreeOjahb,43
#SarsMustGoNow,#EndSARS,2714
#EndSARS,#SarsMustGo,25301
#EndSARS,#EndSarsNow,21952
#EndSARS,#EndPoliceBrutalityinNigeria,19214
#EndSARS,#SARSMUSTEND,18148
#EndSARS,#EndPoliceBrutality,13373
#EndSARS,#SURULEREPROTEST,5298
#EndSARS,#5for5,1587
#EndSARS,#Lekki,1293
#EndSARS,#SARSMUSTENDNOW,1056
#EndSARS,#EndPoliceBrutalitynow,461
#EndSARS,#ReformTheNigerianPolice,442
#EndSARS,#SARMUSTENDNOW,365
#EndSARS,#SARMUSTEND,340
#SarsMustGoNow,#SARSMUSTENDNOW,2666
#SARSMUSTENDNOW,#SARSMUSTEND,9352
#SARSMUSTENDNOW,#EndPoliceBrutalityinNigeria,5646
#SARSMUSTENDNOW,#SarsMustGo,2177
#SARSMUSTENDNOW,#EndSARS,1200
#SARSMUSTENDNOW,#EndSarsNow,470
#SARSMUSTENDNOW,#5for5,444
#SARSMUSTENDNOW,#EndPoliceBrutality,369
#SARSMUSTENDNOW,#SURULEREPROTEST,179
#SARSMUSTENDNOW,#Lekkitollgate,101
#SARSMUSTENDNOW,#ReformTheNigerianPolice,58
#SARSMUSTENDNOW,#FreeWale,45
#SARSMUSTENDNOW,#Lekki,31
#SARSMUSTENDNOW,#prayerwalk,25
#SARSMUSTENDNOW,#5of5,25
#SARSMUSTENDNOW,#ReformNigeriaPolice,23
#SARSMUSTENDNOW,#unilag,23
#SARSMUSTENDNOW,#EndASUUStrike,22
#SARSMUSTENDNOW,#FreeOjahBee,20
#SARSMUSTENDNOW,#EndPoliceBrutalitynow,18
#SARSMUSTENDNOW,#chickenrepublic,18
#SARSMUSTENDNOW,#FreeOjahb,16
#SARSMUSTENDNOW,#schoolsreopening,16
#SARSMUSTENDNOW,#EndBadGovernanceinNIGERIA,16
#SARSMUSTENDNOW,#togetherwecan,15
#SARSMUSTENDNOW,#EndAsuuStrikeNow,14
#SARSMUSTENDNOW,#StopPoliceBrutalityinNigeria,13
#SARSMUSTENDNOW,#signthepetition,12
#SARSMUSTENDNOW,#SARSOUT,11
#SarsMustGoNow,#5for5,1877
#5for5,#SARSMUSTEND,9121
#5for5,#SarsMustGo,4157
#5for5,#EndPoliceBrutalityinNigeria,2272
#5for5,#Lekki,1852
#5for5,#EndSarsNow,1535
#5for5,#5of5,1258
#5for5,#EndSARS,978
#5for5,#EndPoliceBrutality,440
#5for5,#SURULEREPROTEST,374
#5for5,#SARSMUSTENDNOW,332
#5for5,#ReformTheNigerianPolice,261
#5for5,#signthepetition,242
#5for5,#unilag,226
#5for5,#EndAsuuStrikeNow,187
#5for5,#davido,183
#5for5,#schoolsreopening,152
#5for5,#Lekkitollgate,107
#5for5,#prayerwalk,81
#5for5,#togetherwecan,77
#5for5,#EndASUUStrike,50
#5for5,#SARMUSTENDNOW,33
#5for5,#chickenrepublic,21
#5for5,#ReformNigeriaPolice,20
#SarsMustGoNow,#EndSarsNow,1596
#EndSarsNow,#EndPoliceBrutalityinNigeria,35656
#EndSarsNow,#EndSARS,19352
#EndSarsNow,#SARSMUSTEND,12365
#EndSarsNow,#EndPoliceBrutality,6096
#EndSarsNow,#SarsMustGo,5926
#EndSarsNow,#5for5,1535
#EndSarsNow,#SURULEREPROTEST,827
#EndSarsNow,#SARSMUSTENDNOW,323
#EndSarsNow,#Lekki,276
#EndSarsNow,#SarsAlert,183
#EndSarsNow,#ReformTheNigerianPolice,153
#EndSarsNow,#EnsSARS,138
#EndSarsNow,#EndBadGovernanceinNIGERIA,76
#EndSarsNow,#EndPoliceBrutalitynow,75
#EndSarsNow,#EndAsuuStrikeNow,54
#SarsMustGoNow,#ReformTheNigerianPolice,997
#ReformTheNigerianPolice,#SARSMUSTEND,3317
#ReformTheNigerianPolice,#EndPoliceBrutalityinNigeria,1839
#ReformTheNigerianPolice,#EndSARS,1546
#ReformTheNigerianPolice,#EndPoliceBrutalitynow,946
#ReformTheNigerianPolice,#SarsMustGo,631
