src,dst,count
#china,#Shanghai,247
#Shanghai,#Beijing,269
#Shanghai,#China,33
#china,#Beijing,229
#Beijing,#Shanghai,269
#Beijing,#China,202
#Beijing,#coronavirus,5
#china,#Qingdao,125
#Qingdao,#China,8
#Qingdao,#coronavirus,3
#Qingdao,#Beijing,2
#china,#india,25
#india,#news,33
#india,#usa,28
#india,#germany,19
#india,#russia,19
#india,#turkey,18
#india,#coronavirus,18
#india,#france,18
#india,#canada,15
#china,#russia,16
#russia,#usa,142
#russia,#turkey,140
#russia,#france,83
#russia,#germany,51
#russia,#canada,48
#china,#pakistan,16
#pakistan,#indianairforce,12
#pakistan,#crime,10
#pakistan,#india,9
#pakistan,#turkey,8
#china,#germany,16
#germany,#russia,84
#germany,#turkey,62
#germany,#usa,42
#germany,#france,19
#germany,#india,19
#germany,#italy,16
#germany,#canada,10
#germany,#azerbaijan,8
#china,#turkey,15
#turkey,#azerbaijan,4805
#turkey,#russia,189
#turkey,#usa,155
#turkey,#news,147
#turkey,#france,84
#turkey,#canada,71
#turkey,#germany,62
#china,#usa,14
#usa,#turkey,135
#usa,#trump,122
#usa,#russia,112
#usa,#canada,95
#usa,#france,50
#usa,#germany,49
#china,#france,13
#france,#turkey,84
#france,#russia,83
#france,#usa,50
#france,#canada,33
#china,#italy,12
#italy,#france,18
#italy,#turkey,17
#italy,#germany,16
#italy,#russia,11
#italy,#india,9
#italy,#azerbaijan,9
#italy,#Twitter,7
#italy,#cryptocurrency,7
#italy,#Bitcoin,7
#italy,#usa,7
#italy,#canada,6
#china,#indianairforce,12
#indianairforce,#pakistan,12
#indianairforce,#india,10
#indianairforce,#news,6
#china,#news,9
#news,#turkey,104
#news,#coronavirus,41
#news,#india,33
#news,#crime,29
#china,#shanghai,9
#shanghai,#China,4
#china,#azerbaijan,9
#azerbaijan,#turkey,5040
#china,#Bitcoin,9
#Bitcoin,#cryptocurrency,239
#china,#cryptocurrency,9
#cryptocurrency,#Bitcoin,239
#china,#Twitter,9
#Twitter,#Bitcoin,10
#Twitter,#coronavirus,10
#Twitter,#italy,8
#Twitter,#cryptocurrency,8
#china,#trump,8
#trump,#usa,113
#trump,#coronavirus,107
#china,#canada,8
#canada,#usa,105
#canada,#turkey,55
#canada,#russia,48
#canada,#france,38
#china,#China,8
#china,#crime,8
#china,#coronavirus,7
