src,dst,count
#iPhone12,#AppleEvent,7888
#AppleEvent,#iPhone12ProMax,3424
#AppleEvent,#Apple,2512
#AppleEvent,#EndSARS,1503
#AppleEvent,#iPhone12Pro,1050
#AppleEvent,#iPhone11,896
#AppleEvent,#5Gsfor5G,892
#AppleEvent,#مؤتمر_آبل,820
#AppleEvent,#GBBO,794
#AppleEvent,#iPhone,747
#AppleEvent,#TentacionesDBT3,736
#AppleEvent,#iPhone12mini,466
#AppleEvent,#AmazonPrimeDay,335
#iPhone12,#Apple,2319
#Apple,#AppleEvent,2514
#Apple,#GBBO,578
#Apple,#5Gsfor5G,573
#Apple,#TentacionesDBT3,551
#Apple,#iPhone12mini,494
#Apple,#iPhone,479
#Apple,#iPhone12Pro,447
#Apple,#5G,314
#Apple,#iPhone12ProMax,217
#Apple,#AmazonPrimeDay,90
#Apple,#HomePodMini,65
#Apple,#مؤتمر_آبل,57
#iPhone12,#iPhone11,1949
#iPhone11,#AppleEvent,895
#iPhone11,#Apple,40
#iPhone11,#iPhone,32
#iPhone11,#iPhone11ProMax,28
#iPhone11,#iPhone12mini,20
#iPhone11,#iPhone12Pro,11
#iPhone11,#iPhone12ProMax,8
#iPhone12,#iPhone12Pro,864
#iPhone12Pro,#AppleEvent,1050
#iPhone12Pro,#iPhone12ProMax,518
#iPhone12Pro,#iPhone12mini,488
#iPhone12Pro,#Apple,447
#iPhone12Pro,#iPhone,269
#iPhone12Pro,#HomePodMini,76
#iPhone12Pro,#iPhone12Mini,72
#iPhone12Pro,#iPhone12Series,56
#iPhone12Pro,#AmazonPrimeDay,52
#iPhone12Pro,#apple,52
#iPhone12Pro,#5G,50
#iPhone12Pro,#مؤتمر_آبل,30
#iPhone12,#iPhone12mini,823
#iPhone12mini,#Apple,494
#iPhone12mini,#iPhone12Pro,489
#iPhone12mini,#AppleEvent,465
#iPhone12mini,#iPhone12ProMax,278
#iPhone12mini,#5G,240
#iPhone12mini,#iPhone,173
#iPhone12mini,#iPhone12Series,46
#iPhone12mini,#HomePodMini,30
#iPhone12mini,#AmazonPrimeDay,30
#iPhone12mini,#iPhone11,20
#iPhone12mini,#apple,19
#iPhone12,#5Gsfor5G,768
#5Gsfor5G,#AppleEvent,892
#5Gsfor5G,#GBBO,690
#5Gsfor5G,#TentacionesDBT3,659
#5Gsfor5G,#Apple,573
#5Gsfor5G,#PortfolioDay,110
#5Gsfor5G,#EndSWAT,52
#iPhone12,#GBBO,722
#GBBO,#AppleEvent,794
#GBBO,#5Gsfor5G,690
#GBBO,#TentacionesDBT3,677
#GBBO,#Apple,578
#GBBO,#EndSWAT,49
#GBBO,#PortfolioDay,11
#GBBO,#iPhone,10
#GBBO,#iPhone12Pro,9
#iPhone12,#TentacionesDBT3,679
#TentacionesDBT3,#AppleEvent,736
#TentacionesDBT3,#GBBO,677
