src,dst,count
#india,#instagram,47
#instagram,#instagood,690
#instagram,#love,453
#instagram,#follow,71
#instagram,#usa,26
#instagram,#uae,23
#india,#indian,43
#indian,#airforce,12
#indian,#usa,9
#indian,#uk,8
#indian,#canada,8
#indian,#russia,7
#indian,#love,6
#indian,#mumbai,6
#india,#news,33
#news,#breakingnews,125
#news,#turkey,104
#news,#coronavirus,41
#india,#usa,28
#usa,#turkey,135
#usa,#russia,112
#usa,#canada,95
#usa,#uk,70
#usa,#france,50
#usa,#germany,49
#india,#china,25
#china,#russia,16
#china,#germany,16
#china,#turkey,15
#china,#usa,14
#china,#france,13
#china,#news,9
#china,#canada,8
#china,#coronavirus,7
#india,#love,22
#love,#instagood,528
#love,#instagram,458
#india,#instagood,21
#instagood,#instagram,660
#instagood,#love,534
#instagood,#follow,96
#india,#germany,19
#germany,#russia,84
#germany,#turkey,62
#germany,#usa,42
#germany,#france,19
#germany,#china,13
#germany,#canada,10
#india,#russia,19
#russia,#usa,142
#russia,#turkey,140
#russia,#france,83
#russia,#germany,51
#russia,#canada,48
#india,#airforce,19
#airforce,#indian,12
#airforce,#usa,5
#india,#brahamos,18
#brahamos,#akash,27
#brahamos,#prithivi,18
#india,#prithivi,18
#prithivi,#brahamos,18
#prithivi,#akash,18
#india,#akash,18
#akash,#brahamos,18
#akash,#prithivi,9
#india,#turkey,18
#turkey,#russia,189
#turkey,#usa,155
#turkey,#news,147
#turkey,#france,84
#turkey,#canada,71
#turkey,#germany,62
#india,#coronavirus,18
#india,#france,18
#france,#turkey,84
#france,#russia,83
#france,#usa,50
#france,#canada,33
#india,#breakingnews,15
#breakingnews,#news,125
#breakingnews,#follow,8
#india,#canada,15
#canada,#usa,105
#canada,#turkey,55
#canada,#russia,48
#canada,#france,38
#india,#memes,15
#india,#uae,14
#uae,#instagram,23
#uae,#usa,17
#uae,#news,7
#uae,#turkey,6
#india,#mumbai,14
#mumbai,#turkey,13
#mumbai,#uk,9
#mumbai,#indian,9
#mumbai,#love,9
#mumbai,#usa,8
#mumbai,#russia,7
#india,#follow,14
#follow,#love,103
#follow,#instagood,81
#follow,#instagram,71
#india,#uk,14
#uk,#usa,44
#uk,#turkey,16
#uk,#canada,14
#uk,#russia,11
#uk,#love,10
