src,dst,count
(#EndSARS&#EndSWAT),@Thickerbody_08,215
(#EndSARS&#EndSWAT),@OgbeniDipo,185
(#EndSARS&#EndSWAT),@MaziIbe_,137
(#EndSARS&#EndSWAT),@ReekadoBanks,127
(#EndSARS&#EndSWAT),@FrancisElecha,97
(#EndSARS&#EndSWAT),@SaharaReporters,59
(#EndSARS&#EndSWAT),@Praiz8,56
(#EndSARS&#EndSWAT),@DianaOkoroh,42
(#EndSARS&#EndSWAT),@Mistohmie,41
(#EndSARS&#EndSWAT),@rahman_jago_,38
(#EndSARS&#EndSWAT),@Chxta,29
(#EndSARS&#EndSWAT),@PoliceNG,23
(#EndSARS&#EndSWAT),@channelstv,22
(#EndSARS&#EndSWAT),@iam_aishalami,20
(#EndSARS&#EndSWAT),@Muweez,19
(#EndSARS&#EndSWAT),@JoeyAkan,19
(#EndSARS&#EndSWAT),@jennygodswill,18
(#EndSARS&#EndSWAT),@jack,17
(#EndSARS&#EndSWAT),@MBuhari,16
(#EndSARS&#EndSWAT),@I_gee17,16
(#EndSARS&#EndSWAT),@Hakorede__,16
(#EndSARS&#EndSWAT),@SpecialSlim,16
(#EndSARS&#EndSWAT),@AbangMercy,16
(#EndSARS&#EndSWAT),@NaijaNews,15
(#EndSARS&#EndSWAT),@poriaspec,15
(#EndSARS&#EndSWAT),@NigeriaNewsdesk,15
(#EndSARS&#EndSWAT),@HAHayatu,14
(#EndSARS&#EndSWAT),@mrmanheree,13
(#EndSARS&#EndSWAT),@ToolzO,13
(#EndSARS&#EndSWAT),@jidesanwoolu,13
(#EndSARS&#EndSWAT),@followlasg,12
(#EndSARS&#EndSWAT),@LadiPoe,11
(#EndSARS&#EndSWAT),@_DammyB_,11
(#EndSARS&#EndSWAT),@adamugarba,11
(#EndSARS&#EndSWAT),@iam_igbinedion,11
(#EndSARS&#EndSWAT),@CNN,10
(#EndSARS&#EndSWAT),@ManUtdInPidgin,10
(#EndSARS&#EndSWAT),@ObongRoviel,10
(#EndSARS&#EndSWAT),@RealSolaKuti,9
(#EndSARS&#EndSWAT),@perfectskones,9
(#EndSARS&#EndSWAT),@EL_DEINO,9
(#EndSARS&#EndSWAT),@segalink,9
(#EndSARS&#EndSWAT),@ObadiahNeilson,9
(#EndSARS&#EndSWAT),@FeyiMac,8
(#EndSARS&#EndSWAT),@omobolasuccess,8
(#EndSARS&#EndSWAT),@cnnbrk,7
(#EndSARS&#EndSWAT),@SavvyRinu,7
(#EndSARS&#EndSWAT),@JemimaOsunde,7
(#EndSARS&#EndSWAT),@lasisielenu,7
(#EndSARS&#EndSWAT),@FlorenceOzor,7
(#EndSARS&#EndSWAT),@TheToluAdeyi,7
(#EndSARS&#EndSWAT),@AishaYesufu,6
(#EndSARS&#EndSWAT),@BBCWorld,6
(#EndSARS&#EndSWAT),@AJEnglish,6
(#EndSARS&#EndSWAT),@_Osasu__,6
(#EndSARS&#EndSWAT),@k3in3Ahnung_,6
(#EndSARS&#EndSWAT),@ayemojubar,5
(#EndSARS&#EndSWAT),@dawn_immanuel,5
(#EndSARS&#EndSWAT),@nassnigeria,5
(#EndSARS&#EndSWAT),@GiscoMadu,5
(#EndSARS&#EndSWAT),@Atelly_jnd,5
