src,dst,count
#EndSARS,@mo_wura,16188
#EndSARS,@adetolaov,15348
#EndSARS,@Thickerbody_08,11270
#EndSARS,@renoomokri,5880
#EndSARS,@MBuhari,4823
#EndSARS,@SaharaReporters,4160
#EndSARS,@_Ogonna,3608
#EndSARS,@segalink,2585
#EndSARS,@icecube,2268
#EndSARS,@Crhedrys,2268
#EndSARS,@OgbeniKunle1,2064
#EndSARS,@osbalt_,1990
#EndSARS,@thecableng,1788
#EndSARS,@TopeAkinyode,1588
#EndSARS,@MobilePunch,1408
#EndSARS,@ayemojubar,1032
#EndSARS,@FrancisElecha,956
#EndSARS,@jidesanwoolu,824
#EndSARS,@MaziIbe_,797
#EndSARS,@_DammyB_,788
#EndSARS,@Called_Traiz,702
#EndSARS,@Letter_to_Jack,684
#EndSARS,@LadyDonli,568
#EndSARS,@blessedivine,550
#EndSARS,@AishaYesufu,544
#EndSARS,@PoliceNG,512
#EndSARS,@DrAtangwho,480
#EndSARS,@CNN,474
#EndSARS,@FlorenceOzor,468
#EndSARS,@iam_aishalami,465
#EndSARS,@mrmacaronii,450
#EndSARS,@PrettieAdiela,392
#EndSARS,@jennygodswill,384
#EndSARS,@JoeyAkan,282
#EndSARS,@Amchizzy,276
#EndSARS,@ulxma,260
#EndSARS,@DannyWalta,256
#EndSARS,@SIAF_NG,218
#EndSARS,@von_Bismack,206
#EndSARS,@damola_A,204
#EndSARS,@Nwankpa_A,192
#EndSARS,@vanguardngrnews,183
#EndSARS,@TheToluAdeyi,172
#EndSARS,@Uncle_savage00,164
#EndSARS,@eniturn,156
#EndSARS,@NewsnowNigeria,156
#EndSARS,@GazetteNGR,156
#EndSARS,@yabaleftonline,153
#EndSARS,@Gidi_Traffic,144
#EndSARS,@YeleSowore,132
#EndSARS,@_DDayo,126
#EndSARS,@iSlimfit,124
#EndSARS,@BBCAfrica,111
#EndSARS,@adeyanjudeji,108
#EndSARS,@akosdahthird,102
#EndSARS,@fkabudu,100
#EndSARS,@channelstv,96
#EndSARS,@CNNAfrica,96
#EndSARS,@sarah_edo,96
#EndSARS,@Mr_Oyedele,95
#EndSARS,@OgbeniDipo,94
#EndSARS,@BrianJDennis,93
#EndSARS,@NigeriaNewsdesk,90
#EndSARS,@somiscellany,90
#EndSARS,@akorive001,86
#EndSARS,@davido,84
#EndSARS,@OoTheNigerian,84
#EndSARS,@behappygang,80
#EndSARS,@bizzleosikoya,78
#EndSARS,@Hakorede__,75
#EndSARS,@don_udo,75
#EndSARS,@glitzy_cynthia,72
#EndSARS,@I_Am_Ilemona,72
#EndSARS,@NGRPresident,72
#EndSARS,@ElevationToday,72
#EndSARS,@PremiumTimesng,70
#EndSARS,@IamDrSID,68
#EndSARS,@The_Jonathanian,68
#EndSARS,@Ebuka,68
#EndSARS,@benigbakpa,65
#EndSARS,@NaijaNews,64
#EndSARS,@TheNationNews,64
#EndSARS,@olusogaowoeye,64
#EndSARS,@Omojuwa,60
#EndSARS,@StephanieBusari,56
#EndSARS,@EkitiKetekan,56
#EndSARS,@cnnbrk,56
#EndSARS,@AfroVII,54
#EndSARS,@ogundamisi,53
#EndSARS,@wickedstepmami,52
#EndSARS,@UNCLE_AJALA,52
#EndSARS,@demem8,50
#EndSARS,@3ple__a,48
#EndSARS,@Adebayo_Ralph,48
#EndSARS,@NigeriaGov,48
#EndSARS,@iam_igbinedion,48
#EndSARS,@Adesina6131,46
#EndSARS,@sam_adeyemi,46
#EndSARS,@Iamcalled_Nuel,46
#EndSARS,@ProfOsinbajo,44
#EndSARS,@elrufai,43
#EndSARS,@oil_shaeikh,42
#EndSARS,@temiokomi,41
#EndSARS,@I_gee17,41
#EndSARS,@perfectskones,41
#EndSARS,@AyoOyalowo,40
#EndSARS,@wizkidayo,40
#EndSARS,@fisayosoyombo,40
#EndSARS,@BBCWorld,39
#EndSARS,@pauladefarasin,38
#EndSARS,@NwabuwaChidume,38
#EndSARS,@Helper37216548,37
#EndSARS,@MoghaluKingsley,37
#EndSARS,@Arsenal,37
#EndSARS,@OguchiJoel,36
#EndSARS,@emmaikumeh,36
#EndSARS,@_Etim_,34
#EndSARS,@Deejaybaju,32
#EndSARS,@NativeMag,32
#EndSARS,@YdpNig,30
#EndSARS,@marrgarritah,30
#EndSARS,@Uncle2Triplets,29
#EndSARS,@oshomah,28
#EndSARS,@DONJAZZY,27
#EndSARS,@PeterPsquare,27
#EndSARS,@KIRAAH_,26
#EndSARS,@biolakazeem,26
#EndSARS,@MONSIEURBLAC,26
#EndSARS,@Symply_Tacha,26
#EndSARS,@cnni,25
#EndSARS,@cuppymusic,25
#EndSARS,@pee_deevah,25
#EndSARS,@NkirukaNistoran,24
#EndSARS,@AJEnglish,24
#EndSARS,@mrmaccaroni_,24
#EndSARS,@DrOlufunmilayo,24
#EndSARS,@FishBowlOfWine,24
#EndSARS,@UnclePamilerin,24
#EndSARS,@YemieFASH,24
