src,dst,count
(#COVID19&#herdimmunity),#COVID19,171
(#COVID19&#herdimmunity),#herdimmunity,71
(#COVID19&#herdimmunity),#WorldFoodDay,7
(#COVID19&#herdimmunity),#Schweiz,4
(#COVID19&#herdimmunity),#RestartAHeart,3
(#COVID19&#herdimmunity),#students,2
(#COVID19&#herdimmunity),#COVID__19,2
(#COVID19&#herdimmunity),#Joy,1
(#COVID19&#herdimmunity),#LOVE,1
(#COVID19&#herdimmunity),#Malta,1
(#COVID19&#herdimmunity),#MIvsKKR,1
(#COVID19&#herdimmunity),#food,1
(#COVID19&#herdimmunity),#COVID19lu,1
(#COVID19&#herdimmunity),#Odisha,1
(#COVID19&#herdimmunity),#SushantSinghRajput,1
(#COVID19&#herdimmunity),#Croatian,1
(#COVID19&#herdimmunity),#ChooseLove,1
(#COVID19&#herdimmunity),#DurhamUniversity,1
(#COVID19&#herdimmunity),#pslhub,1
(#COVID19&#herdimmunity),#LatinAmerica,1
(#COVID19&#herdimmunity),#workplaces,1
(#COVID19&#herdimmunity),#COVIDー19,1
(#COVID19&#herdimmunity),#CardiffUniversity,1
(#COVID19&#herdimmunity),#COVID19fr,1
(#COVID19&#herdimmunity),#FoodSystems,1
(#COVID19&#herdimmunity),#educators,1
(#COVID19&#herdimmunity),#HemaMalini,1
(#COVID19&#herdimmunity),#COVID19be,1
(#COVID19&#herdimmunity),#SARSCoV2,1
(#COVID19&#herdimmunity),#Irland,1
(#COVID19&#herdimmunity),#Covid19qb,1
(#COVID19&#herdimmunity),#ClimateChange,1
(#COVID19&#herdimmunity),#fail,1
(#COVID19&#herdimmunity),#Mindfulness,1
(#COVID19&#herdimmunity),#COVID,1
(#COVID19&#herdimmunity),#JoyTrain,1
(#COVID19&#herdimmunity),#wfh,1
(#COVID19&#herdimmunity),#FamilyTrain,1
(#COVID19&#herdimmunity),#GenderEquality,1
(#COVID19&#herdimmunity),#COVID19ch,1
(#COVID19&#herdimmunity),#COVID19france,1
(#COVID19&#herdimmunity),#Perspective,1
(#COVID19&#herdimmunity),#future,1
(#COVID19&#herdimmunity),#Quote,1
(#COVID19&#herdimmunity),#COVID19Qc,1
(#COVID19&#herdimmunity),#MentalHealth,1
(#COVID19&#herdimmunity),#NJ,1
(#COVID19&#herdimmunity),#office,1
(#COVID19&#herdimmunity),#Kindness,1
(#COVID19&#herdimmunity),#FoodHeroes,1
(#COVID19&#herdimmunity),#CoronaVirusUpdates,1
