src,dst,count
(#EndSARS&#EndPoliceBrutalityinNigeria),@mr_macaronii,78
(#EndSARS&#EndPoliceBrutalityinNigeria),@MrAkinbosola,63
(#EndSARS&#EndPoliceBrutalityinNigeria),@Endsarsalready,47
(#EndSARS&#EndPoliceBrutalityinNigeria),@Mbahdeyforyou,47
(#EndSARS&#EndPoliceBrutalityinNigeria),@BankyW,41
(#EndSARS&#EndPoliceBrutalityinNigeria),@Letter_to_Jack,32
(#EndSARS&#EndPoliceBrutalityinNigeria),@fweshfac3,23
(#EndSARS&#EndPoliceBrutalityinNigeria),@Mobolaji__,17
(#EndSARS&#EndPoliceBrutalityinNigeria),@AmnestyNigeria,17
(#EndSARS&#EndPoliceBrutalityinNigeria),@lasisielenu,16
(#EndSARS&#EndPoliceBrutalityinNigeria),@jidesanwoolu,16
(#EndSARS&#EndPoliceBrutalityinNigeria),@TosinOlugbenga,16
(#EndSARS&#EndPoliceBrutalityinNigeria),@iamricoswavey,14
(#EndSARS&#EndPoliceBrutalityinNigeria),@PoliceNG,14
(#EndSARS&#EndPoliceBrutalityinNigeria),@sugabelly,13
(#EndSARS&#EndPoliceBrutalityinNigeria),@ADoseOfStella,12
(#EndSARS&#EndPoliceBrutalityinNigeria),@MBuhari,10
(#EndSARS&#EndPoliceBrutalityinNigeria),@CNN,10
(#EndSARS&#EndPoliceBrutalityinNigeria),@falzthebahdguy,9
(#EndSARS&#EndPoliceBrutalityinNigeria),@channelstv,8
(#EndSARS&#EndPoliceBrutalityinNigeria),@MixySlim,8
(#EndSARS&#EndPoliceBrutalityinNigeria),@StephanieBusari,7
(#EndSARS&#EndPoliceBrutalityinNigeria),@AishaYesufu,7
(#EndSARS&#EndPoliceBrutalityinNigeria),@thecableng,7
(#EndSARS&#EndPoliceBrutalityinNigeria),@ThomasPartey22_,6
(#EndSARS&#EndPoliceBrutalityinNigeria),@BBCWorld,6
(#EndSARS&#EndPoliceBrutalityinNigeria),@ritaUdominic,6
(#EndSARS&#EndPoliceBrutalityinNigeria),@ReekadoBanks,6
(#EndSARS&#EndPoliceBrutalityinNigeria),@mrmacaronii,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@FeyiMac,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@DavinaOriakhi,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@jack,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@frankdonga_,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@Peruzzi,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@SavvyRinu,5
(#EndSARS&#EndPoliceBrutalityinNigeria),@ToluOluyinka,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@lovlydavid,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@fkabudu,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@segalink,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@flyestkaren,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@OgbeniDipo,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@NigeriaStories,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@adeleye_x,4
(#EndSARS&#EndPoliceBrutalityinNigeria),@DonaldTrumpNe,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@shakezbaba,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@AdesuaEtomiW,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@LekkiHoodFinest,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@IamDrSID,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@adetolaov,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@lofepramine,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@DenolaGrey,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@SaharaReporters,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@folasanwo,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@ProfOsinbajo,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@ed_couture,3
(#EndSARS&#EndPoliceBrutalityinNigeria),@EbribreJ,3
