src,dst,count
#EndSARS,#EndSWAT,125628
#EndSARS,#EndPoliceBrutalityinNigeria,40140
#EndSARS,#EndPoliceBrutality,32736
#EndSARS,#SARSMUSTEND,19968
#EndSARS,#EndSarsNow,13812
#EndSARS,#ReformPoliceNG,13224
#EndSARS,#SARSMUSTENDNOW,10824
#EndSARS,#EndBadGovernanceinNIGERIA,8760
#EndSARS,#SWATMUSTENDNOW,7944
#EndSARS,#AbujaProtests,4608
#EndSARS,#AbujaProtest,4168
#EndSARS,#SWATMUSTEND,4116
#EndSARS,#EndSARSBrutality,3096
#EndSARS,#SarsMustGoNow,3084
#EndSARS,#SWAT,2976
#EndSARS,#ENDSARSOPPRESSION,2796
#EndSARS,#EndSWATinNigeria,1710
#EndSARS,#EndBadGoveranceInNigeria,1518
#EndSARS,#YouthDemocraticParty,1476
#EndSARS,#SarsMustGo,1296
#EndSARS,#ENDSWAT,1284
#EndSARS,#endswatnow,1200
#EndSARS,#sorosoke,1128
#EndSARS,#BuhariHasBeenABadBoy,1050
#EndSARS,#Abuja,740
#EndSARS,#sorosokewerey,616
#EndSARS,#ReformThePoliceNG,552
#EndSARS,#SARMUSTEND,550
#EndSARS,#EndSwat,483
#EndSARS,#Nigeria,480
#EndSARS,#EndSARSProtest,462
#EndSARS,#ReformTheNigerianPolice,441
#EndSARS,#StopPoliceBrutalityinNigeria,400
#EndSARS,#SARS,371
#EndSARS,#EndPoliceBrutalitynow,324
#EndSARS,#5for5,300
#EndSARS,#NigerianLivesMatter,266
#EndSARS,#IGPResignNow,238
#EndSARS,#EndPoliceBrutalityInNigeriaNow,220
#EndSARS,#EndPoliceBrutalityNigeria,204
#EndSARS,#BuhariMustGo,204
#EndSARS,#endswat,184
#EndSARS,#SARAMUSTEND,180
#EndSARS,#EndSars,176
#EndSARS,#NigeriaYouthsLiveMatter,164
#EndSARS,#NOTOSWAT,161
#EndSARS,#EndNigeriaNow,150
#EndSARS,#ReformNigeriaPolice,132
#EndSARS,#EndSarsProtests,130
#EndSARS,#100m,99
#EndSARS,#PoliceBrutalityInNigeria,96
#EndSARS,#ENDSWART,90
#EndSARS,#ReformNigeria,88
#EndSARS,#BuhariResignNow,75
#EndSARS,#JusticeForJimohIsaiq,75
#EndSARS,#AppleEvent,72
#EndSARS,#iPhone12,69
#EndSARS,#SARSHASENDED,67
#EndSARS,#AbujaTwitterCommunity,56
#EndSARS,#gautamgambhir,56
#EndSARS,#EndSARSProtests,54
#EndSARS,#wereydeydisguise,51
#EndSARS,#SARSMUSTGO,48
#EndSARS,#ArrestKillerOfficers,45
#EndSARS,#BuhariResign,38
#EndSARS,#vanguardnews,36
#EndSARS,#RevolutionNow,34
#EndSARS,#segalink,34
#EndSARS,#SustainTheProtest,34
#EndSARS,#ANewNigeria,32
#EndSARS,#SWATMUSTGO,32
