from,to,count
@realDonaldTrump,@FLOTUS,2432
@realDonaldTrump,@POTUS,192
@realDonaldTrump,@JoeBiden,136
@realDonaldTrump,@GOP,60
@realDonaldTrump,@DNC,50
#COVID19,@DrEricDing,41
@DrEricDing,@realDonaldTrump,4
@DrEricDing,@POTUS,1
@DrEricDing,@HKrassenstein,1
@DrEricDing,@GOP,1
#COVID19,@DNC,28
@DNC,@soloyochapin,48
@DNC,@JoeBiden,14
@DNC,@FLOTUS,13
@DNC,@GOP,11
@DNC,@HKrassenstein,9
@DNC,@POTUS,3
#COVID19,@soloyochapin,23
@soloyochapin,@realDonaldTrump,23
@soloyochapin,@FLOTUS,12
@soloyochapin,@JoeBiden,10
@soloyochapin,@GOP,10
@soloyochapin,@HKrassenstein,9
@soloyochapin,@POTUS,1
#COVID19,@JoeBiden,21
@JoeBiden,@POTUS,19
@JoeBiden,@GOP,13
@JoeBiden,@FLOTUS,13
@JoeBiden,@HKrassenstein,12
#COVID19,@Rosie_wearamask,21
#COVID19,@SierraWhiskee,19
@SierraWhiskee,@realDonaldTrump,21
#COVID19,@FLOTUS,17
@FLOTUS,@POTUS,412
#COVID19,@LaurenPelley,16
#COVID19,@POTUS,15
@POTUS,@GOP,12
#COVID19,@Alyssa_Milano,15
#COVID19,@drapr007,15
#COVID19,@EckerleIsabella,14
#COVID19,@GOP,13
@GOP,@HKrassenstein,9
#COVID19,@SKYRIDER4538,10
#COVID19,@IMAIndiaOrg,10
#COVID19,@GabrielScally,9
#COVID19,@HKrassenstein,9
@HKrassenstein,@realDonaldTrump,18
@HKrassenstein,@FLOTUS,18
#COVID19,@robjh1,8
#COVID19,@CMonteroOficial,8
#COVID19,@realDonaldTrump,79
