src,dst,count
(#EndSARS&#EndSWAT),@MrAkinbosola,150
(#EndSARS&#EndSWAT),@OgbeniDipo,95
(#EndSARS&#EndSWAT),@fweshfac3,71
(#EndSARS&#EndSWAT),@ReekadoBanks,52
(#EndSARS&#EndSWAT),@mr_macaronii,50
(#EndSARS&#EndSWAT),@jesscocoo,44
(#EndSARS&#EndSWAT),@Thickerbody_08,44
(#EndSARS&#EndSWAT),@Mbahdeyforyou,41
(#EndSARS&#EndSWAT),@its_jenniedee,35
(#EndSARS&#EndSWAT),@TheDewale,32
(#EndSARS&#EndSWAT),@Mobolaji__,31
(#EndSARS&#EndSWAT),@Mrtybaba,28
(#EndSARS&#EndSWAT),@The_ayomikun,28
(#EndSARS&#EndSWAT),@Endsarsalready,26
(#EndSARS&#EndSWAT),@HabeebahKareem,24
(#EndSARS&#EndSWAT),@jidesanwoolu,18
(#EndSARS&#EndSWAT),@AmnestyNigeria,16
(#EndSARS&#EndSWAT),@TosinOlugbenga,15
(#EndSARS&#EndSWAT),@MaziIbe_,14
(#EndSARS&#EndSWAT),@effanniee,14
(#EndSARS&#EndSWAT),@one_dosh,13
(#EndSARS&#EndSWAT),@NigeriaStories,12
(#EndSARS&#EndSWAT),@Inywote,11
(#EndSARS&#EndSWAT),@CashGuana,11
(#EndSARS&#EndSWAT),@ADoseOfStella,11
(#EndSARS&#EndSWAT),@CNN,10
(#EndSARS&#EndSWAT),@ayemojubar,10
(#EndSARS&#EndSWAT),@otchi_,10
(#EndSARS&#EndSWAT),@lasisielenu,9
(#EndSARS&#EndSWAT),@MBuhari,9
(#EndSARS&#EndSWAT),@EWAWUNMIII,8
(#EndSARS&#EndSWAT),@diorbbyy_,8
(#EndSARS&#EndSWAT),@faitheepony,8
(#EndSARS&#EndSWAT),@bimboristic,7
(#EndSARS&#EndSWAT),@fkabudu,7
(#EndSARS&#EndSWAT),@PoliceNG,7
(#EndSARS&#EndSWAT),@BudgITng,7
(#EndSARS&#EndSWAT),@ItsQueenPresh,6
(#EndSARS&#EndSWAT),@AbelChristian34,6
(#EndSARS&#EndSWAT),@falzthebahdguy,6
(#EndSARS&#EndSWAT),@odeyemi_yemi,6
(#EndSARS&#EndSWAT),@ugonna_t,6
(#EndSARS&#EndSWAT),@SpecialSlim,5
(#EndSARS&#EndSWAT),@MuyiwaWilliams_,5
(#EndSARS&#EndSWAT),@Peruzzi,5
(#EndSARS&#EndSWAT),@CNNAfrica,5
(#EndSARS&#EndSWAT),@mpa_Mgab,5
(#EndSARS&#EndSWAT),@thecableng,5
(#EndSARS&#EndSWAT),@lovlydavid,4
(#EndSARS&#EndSWAT),@Bewedmemes,4
(#EndSARS&#EndSWAT),@cnnbrk,4
(#EndSARS&#EndSWAT),@flyestkaren,4
(#EndSARS&#EndSWAT),@omobolasuccess,4
(#EndSARS&#EndSWAT),@Sile_dee,4
(#EndSARS&#EndSWAT),@FeyiMac,4
(#EndSARS&#EndSWAT),@IFEontheMIC,4
(#EndSARS&#EndSWAT),@MixySlim,4
(#EndSARS&#EndSWAT),@AishaYesufu,4
(#EndSARS&#EndSWAT),@TuzyDavid,4
(#EndSARS&#EndSWAT),@DenolaGrey,4
(#EndSARS&#EndSWAT),@KimKardashian,3
(#EndSARS&#EndSWAT),@EbribreJ,3
(#EndSARS&#EndSWAT),@DavinaOriakhi,3
(#EndSARS&#EndSWAT),@folasanwo,3
(#EndSARS&#EndSWAT),@UN,3
(#EndSARS&#EndSWAT),@ada0obi,3
(#EndSARS&#EndSWAT),@AbangMercy,3
(#EndSARS&#EndSWAT),@AkpraiseMedia,3
(#EndSARS&#EndSWAT),@JohnTheFinest,3
(#EndSARS&#EndSWAT),@itz_mazine,3
(#EndSARS&#EndSWAT),@thejeseway,3
(#EndSARS&#EndSWAT),@segalink,3
(#EndSARS&#EndSWAT),@henrybalogujr,3
(#EndSARS&#EndSWAT),@VivianOhuruzo,3
(#EndSARS&#EndSWAT),@channelstv,3
(#EndSARS&#EndSWAT),@sugabelly,3
(#EndSARS&#EndSWAT),@omo_daddybolaji,3
(#EndSARS&#EndSWAT),@fegi_endsars,3
(#EndSARS&#EndSWAT),@Opmost,3
(#EndSARS&#EndSWAT),@iam_doctormayor,3
