src,dst,count
(#EndSARS&#EndSWAT),#EndSARS,1276
(#EndSARS&#EndSWAT),#EndSWAT,1202
(#EndSARS&#EndSWAT),#EndPoliceBrutalityinNigeria,122
(#EndSARS&#EndSWAT),#EndsSARS,88
(#EndSARS&#EndSWAT),#TwitterDown,82
(#EndSARS&#EndSWAT),#JosProtest,80
(#EndSARS&#EndSWAT),#EndPoliceBrutality,75
(#EndSARS&#EndSWAT),#EndSWATNow,33
(#EndSARS&#EndSWAT),#asuustrike,26
(#EndSARS&#EndSWAT),#JosEndSarsProtest,22
(#EndSARS&#EndSWAT),#ReformNigeriaPolice,15
(#EndSARS&#EndSWAT),#twitterdown,15
(#EndSARS&#EndSWAT),#PoliceBrutality,15
(#EndSARS&#EndSWAT),#ministryofinjustice,14
(#EndSARS&#EndSWAT),#SARSMUSTEND,12
(#EndSARS&#EndSWAT),#EndBadGovernanceinNIGERIA,11
(#EndSARS&#EndSWAT),#ASSU,11
(#EndSARS&#EndSWAT),#EndSarsNow,10
(#EndSARS&#EndSWAT),#ASUU,7
(#EndSARS&#EndSWAT),#NoShootUs,7
(#EndSARS&#EndSWAT),#OfficeOfTheCitizen,7
(#EndSARS&#EndSWAT),#ENDBADGOVERNANCE,6
(#EndSARS&#EndSWAT),#LazyNigerianYouthUnite,6
(#EndSARS&#EndSWAT),#EndSWATInNigeriaNow,6
(#EndSARS&#EndSWAT),#ReformPoliceNG,6
(#EndSARS&#EndSWAT),#EndPoliceBrutalityNigeria,5
(#EndSARS&#EndSWAT),#EndNigeriaNow,5
(#EndSARS&#EndSWAT),#EndSARSProtests,4
(#EndSARS&#EndSWAT),#EndBadGovernmentinNIGERIA,4
(#EndSARS&#EndSWAT),#sorosokenodeydisguise,4
(#EndSARS&#EndSWAT),#asuu,3
(#EndSARS&#EndSWAT),#NigerianLivesMatter,3
(#EndSARS&#EndSWAT),#SARZMUSTEND,3
(#EndSARS&#EndSWAT),#EndBadGoveranceInNigeria,3
(#EndSARS&#EndSWAT),#endsars,3
(#EndSARS&#EndSWAT),#StopPoliceBrutalityinNigeria,3
(#EndSARS&#EndSWAT),#LazyNigerianYouthSpeaks,2
(#EndSARS&#EndSWAT),#SARSMUSTENDNOW,2
(#EndSARS&#EndSWAT),#EndSarz,2
(#EndSARS&#EndSWAT),#EndNASSpay,2
(#EndSARS&#EndSWAT),#E,2
(#EndSARS&#EndSWAT),#wizkid,2
(#EndSARS&#EndSWAT),#EndSars,2
(#EndSARS&#EndSWAT),#TachaOurVoice,2
(#EndSARS&#EndSWAT),#ENDSWATNOW,2
(#EndSARS&#EndSWAT),#applypressure,2
(#EndSARS&#EndSWAT),#NASSPayCutNow,2
(#EndSARS&#EndSWAT),#JosEndSWATProtest,2
(#EndSARS&#EndSWAT),#JusticeforSARSvictims,2
(#EndSARS&#EndSWAT),#EndPoliceBrutalitynow,2
(#EndSARS&#EndSWAT),#ENDSARSOPPRESSION,2
(#EndSARS&#EndSWAT),#AlausaProtest,2
(#EndSARS&#EndSWAT),#EndSWATinNigeria,2
(#EndSARS&#EndSWAT),#BuhariResign,2
(#EndSARS&#EndSWAT),#SarsMustGoNow,2
(#EndSARS&#EndSWAT),#SayNoToBadGovernance,1
(#EndSARS&#EndSWAT),#AbolidhSWAT,1
(#EndSARS&#EndSWAT),#sorosokewerey,1
(#EndSARS&#EndSWAT),#rebirthnigeria,1
(#EndSARS&#EndSWAT),#NIGERIABLEEDS,1
(#EndSARS&#EndSWAT),#SARMUSTENDNOW,1
(#EndSARS&#EndSWAT),#IGPMustResign,1
(#EndSARS&#EndSWAT),#OZOxSupersport,1
(#EndSARS&#EndSWAT),#NOTOSWAT,1
(#EndSARS&#EndSWAT),#ReformTheNigerianPolice,1
(#EndSARS&#EndSWAT),#NigeriaYouthsLiveMatter,1
(#EndSARS&#EndSWAT),#TellingTheStoriesOfSARS,1
(#EndSARS&#EndSWAT),#TwitterCensorship,1
(#EndSARS&#EndSWAT),#Nigeria,1
(#EndSARS&#EndSWAT),#AlausaProtests,1
(#EndSARS&#EndSWAT),#EndNASS,1
(#EndSARS&#EndSWAT),#EndPoliceBrutalityInNigeriaNow,1
(#EndSARS&#EndSWAT),#FireIGPNigeria,1
(#EndSARS&#EndSWAT),#SARS,1
(#EndSARS&#EndSWAT),#Buratai,1
(#EndSARS&#EndSWAT),#ArrestKillerOfficers,1
(#EndSARS&#EndSWAT),#EndSARSProtest,1
(#EndSARS&#EndSWAT),#Arewa,1
(#EndSARS&#EndSWAT),#Lekkitollgate,1
(#EndSARS&#EndSWAT),#Oduduwa,1
(#EndSARS&#EndSWAT),#BuhariHasBeenABadBoy,1
(#EndSARS&#EndSWAT),#RejectNigeria,1
(#EndSARS&#EndSWAT),#BIAFRAEXIT,1
(#EndSARS&#EndSWAT),#reekadobanks,1
(#EndSARS&#EndSWAT),#NoToPoliceBrutality,1
(#EndSARS&#EndSWAT),#endsarsnow,1
(#EndSARS&#EndSWAT),#Lekkitollgateprotest,1
(#EndSARS&#EndSWAT),#josendswatprotest,1
(#EndSARS&#EndSWAT),#TownHalls,1
(#EndSARS&#EndSWAT),#GoodMorningTwitterWorld,1
(#EndSARS&#EndSWAT),#ReformNigeria,1
(#EndSARS&#EndSWAT),#Queerlivesmatter,1
(#EndSARS&#EndSWAT),#EndBadLeadership,1
(#EndSARS&#EndSWAT),#EndAsuuStrikeNow,1
(#EndSARS&#EndSWAT),#EndCorruptionInNigeria,1
(#EndSARS&#EndSWAT),#SWATMUSTENDNOW,1
(#EndSARS&#EndSWAT),#EndCorruptioninNigeria,1
(#EndSARS&#EndSWAT),#YouthDemocraticParty,1
(#EndSARS&#EndSWAT),#ArmedTaxCollectors,1
(#EndSARS&#EndSWAT),#EndPoliceImpunity,1
(#EndSARS&#EndSWAT),#BuhariVoteOfNoConfidence,1
(#EndSARS&#EndSWAT),#TWITTERDOWN,1
(#EndSARS&#EndSWAT),#ukparliament,1
(#EndSARS&#EndSWAT),#EndCorruption,1
(#EndSARS&#EndSWAT),#EndInsecurityNow,1
(#EndSARS&#EndSWAT),#saynotopolicebrutality,1
(#EndSARS&#EndSWAT),#EndsSWAT,1
(#EndSARS&#EndSWAT),#endswatnow,1
(#EndSARS&#EndSWAT),#EndImpunity,1
(#EndSARS&#EndSWAT),#Yoruba,1
(#EndSARS&#EndSWAT),#StopKillingNigerianYouths,1
(#EndSARS&#EndSWAT),#ENDSARSNOTREFORM,1
(#EndSARS&#EndSWAT),#endinsecurityinnigerianow,1
(#EndSARS&#EndSWAT),#BadgovernmentinNigeria,1
(#EndSARS&#EndSWAT),#BeggarsWithGuns,1
(#EndSARS&#EndSWAT),#EndSARSBrutalitynow,1
(#EndSARS&#EndSWAT),#BuhariResignNow,1
(#EndSARS&#EndSWAT),#ACAB,1
(#EndSARS&#EndSWAT),#Endsars,1
