src,dst,count
#EndSARS,$1315175628568760321,164
#EndSARS,$901556982,60
#EndSARS,$1154439558873997312,37
#EndSARS,$716150312281759744,36
#EndSARS,$220701090,35
#EndSARS,$633521371,31
#EndSARS,$1307753998632484866,26
#EndSARS,$142666935,24
#EndSARS,$1313130106177585156,22
#EndSARS,$775773546559725568,20
#EndSARS,$1258437594909741057,19
#EndSARS,$589894875,18
#EndSARS,$2903854888,17
#EndSARS,$1230474315218477063,16
#EndSARS,$1316249108949200897,16
#EndSARS,$285237810,15
#EndSARS,$415903873,15
#EndSARS,$3862875831,15
#EndSARS,$1003315278284054533,14
#EndSARS,$1197603300,14
#EndSARS,$3918896613,14
#EndSARS,$943515045018980352,13
#EndSARS,$935761822426238976,13
#EndSARS,$375014702,13
#EndSARS,$295921555,13
#EndSARS,$1197167117839282176,12
#EndSARS,$2181716949,12
#EndSARS,$1106218884640788482,12
#EndSARS,$818127777887059969,12
#EndSARS,$1268668387980386311,11
#EndSARS,$1312002400249671680,11
#EndSARS,$144303238,11
#EndSARS,$2251550164,10
#EndSARS,$1315740588155830272,10
#EndSARS,$226507040,10
#EndSARS,$477793375,10
#EndSARS,$3054891407,10
#EndSARS,$1124664910301007874,10
#EndSARS,$1126296726699220994,10
#EndSARS,$166229325,10
#EndSARS,$339577799,10
#EndSARS,$971440494,9
#EndSARS,$1595547614,9
#EndSARS,$353747126,9
#EndSARS,$1064205484125753347,9
#EndSARS,$1315995389166747648,9
#EndSARS,$1265640915139547137,9
#EndSARS,$2657903175,9
#EndSARS,$918787399,9
#EndSARS,$4785049815,9
#EndSARS,$915980527626309632,8
#EndSARS,$1301965589888598017,8
#EndSARS,$791872033378435072,8
#EndSARS,$1196874000837816320,8
#EndSARS,$314902234,8
#EndSARS,$1215230416686321664,8
#EndSARS,$1213819489545883654,8
#EndSARS,$921015853,8
#EndSARS,$212795249,8
#EndSARS,$247371717,8
#EndSARS,$1153083171002621952,8
#EndSARS,$1183781326526259201,8
#EndSARS,$3362458251,8
#EndSARS,$2997737291,8
#EndSARS,$475643275,8
#EndSARS,$4866048118,7
#EndSARS,$94917870,7
#EndSARS,$1053320365722796032,7
#EndSARS,$969193441266733056,7
#EndSARS,$346671498,7
#EndSARS,$182899952,7
#EndSARS,$752090378489126914,7
#EndSARS,$414783141,7
#EndSARS,$790220237333467136,7
#EndSARS,$1261680881158283265,7
#EndSARS,$501591729,7
#EndSARS,$563142806,7
#EndSARS,$213622183,7
#EndSARS,$277862377,7
#EndSARS,$964997365504598016,7
#EndSARS,$1159891514,6
#EndSARS,$2980439109,6
#EndSARS,$1310542806885203969,6
#EndSARS,$1173198541214404609,6
#EndSARS,$896696431574212610,6
#EndSARS,$760163053476409344,6
#EndSARS,$254468410,6
#EndSARS,$1203992922384936960,6
#EndSARS,$103027097,6
#EndSARS,$2160823136,6
#EndSARS,$108383097,6
#EndSARS,$1247493074265112576,6
#EndSARS,$2355003228,6
#EndSARS,$1242815423034396673,6
#EndSARS,$1183107386745217026,6
#EndSARS,$1009212300782383106,6
#EndSARS,$341000262,6
#EndSARS,$773104948175335424,6
#EndSARS,$389788726,6
#EndSARS,$624030701,6
#EndSARS,$1275977588033433600,6
#EndSARS,$167299594,6
#EndSARS,$852113189403848704,6
#EndSARS,$210236137,6
#EndSARS,$1241310600036143104,6
#EndSARS,$1890565771,6
#EndSARS,$1099219366070095872,6
#EndSARS,$162800009,6
#EndSARS,$1309093425069854723,6
#EndSARS,$1316352092026687489,6
#EndSARS,$1241438008420810754,6
#EndSARS,$861855902,6
#EndSARS,$1309551421,6
#EndSARS,$239895061,6
#EndSARS,$3331935244,6
#EndSARS,$98015180,6
#EndSARS,$1288440635268247554,6
#EndSARS,$1449490338,6
#EndSARS,$791927975742545926,6
#EndSARS,$1036352449051873281,6
#EndSARS,$1975920114,6
#EndSARS,$1090915967620825088,6
#EndSARS,$1213564828515618817,6
#EndSARS,$243587513,6
#EndSARS,$1211380088555495424,6
#EndSARS,$197777025,6
#EndSARS,$1261431055413805058,6
#EndSARS,$835836947872481280,6
#EndSARS,$1109428657490194433,6
#EndSARS,$1124610312,6
#EndSARS,$359878119,6
#EndSARS,$148130911,6
#EndSARS,$243254303,6
#EndSARS,$1040660935264927745,6
#EndSARS,$877596421,6
#EndSARS,$907834941798600705,5
#EndSARS,$1634042700,5
#EndSARS,$908833271211069440,5
#EndSARS,$1099559670,5
#EndSARS,$989444576602664960,5
#EndSARS,$1189962522184617984,5
#EndSARS,$909538332371243008,5
#EndSARS,$62285709,5
#EndSARS,$209655334,5
#EndSARS,$217474239,5
#EndSARS,$715748852,5
