src,dst,count
(#COVID19&#herdimmunity),#COVID19,142
(#COVID19&#herdimmunity),#herdimmunity,71
(#COVID19&#herdimmunity),#Grippe,3
(#COVID19&#herdimmunity),#Dexamethasone,3
(#COVID19&#herdimmunity),#WorldFoodDay,3
(#COVID19&#herdimmunity),#MentalHealth,2
(#COVID19&#herdimmunity),#Bihar,2
(#COVID19&#herdimmunity),#FoodHeroes,2
(#COVID19&#herdimmunity),#Neuinfektionen,2
(#COVID19&#herdimmunity),#school,1
(#COVID19&#herdimmunity),#hrtech,1
(#COVID19&#herdimmunity),#hcm,1
(#COVID19&#herdimmunity),#mentalhealth,1
(#COVID19&#herdimmunity),#wellbeing,1
(#COVID19&#herdimmunity),#hrtransformation,1
(#COVID19&#herdimmunity),#hydroxychloroquine,1
(#COVID19&#herdimmunity),#cloud,1
(#COVID19&#herdimmunity),#Japan,1
(#COVID19&#herdimmunity),#Maskenpflicht,1
(#COVID19&#herdimmunity),#oatug,1
(#COVID19&#herdimmunity),#servicenow,1
(#COVID19&#herdimmunity),#JohnSnowMemo,1
(#COVID19&#herdimmunity),#BildungAberSicher,1
(#COVID19&#herdimmunity),#EndsSARS,1
(#COVID19&#herdimmunity),#youngpeople,1
(#COVID19&#herdimmunity),#CX,1
(#COVID19&#herdimmunity),#KC,1
(#COVID19&#herdimmunity),#hr,1
(#COVID19&#herdimmunity),#NJ,1
(#COVID19&#herdimmunity),#TwitterKita,1
(#COVID19&#herdimmunity),#falsepositive,1
(#COVID19&#herdimmunity),#OracleHCM,1
(#COVID19&#herdimmunity),#oracle,1
(#COVID19&#herdimmunity),#Illner,1
(#COVID19&#herdimmunity),#RaiseTheMIC,1
(#COVID19&#herdimmunity),#Aerosole,1
(#COVID19&#herdimmunity),#Arizona,1
(#COVID19&#herdimmunity),#SCM,1
(#COVID19&#herdimmunity),#Biowarfare,1
(#COVID19&#herdimmunity),#NYSC,1
(#COVID19&#herdimmunity),#AAHMS2020,1
(#COVID19&#herdimmunity),#Corona,1
(#COVID19&#herdimmunity),#MasksOffAmerica,1
(#COVID19&#herdimmunity),#KapilDeoKamat,1
(#COVID19&#herdimmunity),#twlz,1
(#COVID19&#herdimmunity),#CouvreFeu,1
(#COVID19&#herdimmunity),#hcmcloud,1
(#COVID19&#herdimmunity),#shrm,1
(#COVID19&#herdimmunity),#ABC,1
(#COVID19&#herdimmunity),#Perspective,1
(#COVID19&#herdimmunity),#csr,1
(#COVID19&#herdimmunity),#WarCrime,1
(#COVID19&#herdimmunity),#TiffanyTrump,1
(#COVID19&#herdimmunity),#RIP,1
(#COVID19&#herdimmunity),#TeamSichereBildung,1
(#COVID19&#herdimmunity),#Coronavirus,1
(#COVID19&#herdimmunity),#Yvelines,1
