src,dst,count
#EndSARS,@Ebuka,4982
#EndSARS,@Mbahdeyforyou,1281
#EndSARS,@jidesanwoolu,1174
#EndSARS,@ToyosiGodwin,981
#EndSARS,@OgbeniDipo,886
#EndSARS,@chefobubu,855
#EndSARS,@unproblematicJ,844
#EndSARS,@ReekadoBanks,711
#EndSARS,@Sxmto_,636
#EndSARS,@adetolaov,578
#EndSARS,@PoliceNG,558
#EndSARS,@RealDreylo,520
#EndSARS,@nafeezi,516
#EndSARS,@siriyonce_,480
#EndSARS,@aproko_doctor,471
#EndSARS,@JajaPhD,459
#EndSARS,@jack,447
#EndSARS,@MobilePunch,441
#EndSARS,@Thickerbody_08,405
#EndSARS,@Gidi_Traffic,396
#EndSARS,@renoomokri,388
#EndSARS,@pappicci,386
#EndSARS,@faitheepony,384
#EndSARS,@Peruzzi,369
#EndSARS,@adeyanjudeji,344
#EndSARS,@BankyW,310
#EndSARS,@MBuhari,306
#EndSARS,@sugabelly,292
#EndSARS,@ayemojubar,267
#EndSARS,@Adabeke12,248
#EndSARS,@CNN,242
#EndSARS,@YeleSowore,239
#EndSARS,@darendigit,237
#EndSARS,@NewbieKekere,234
#EndSARS,@EWAWUNMIII,222
#EndSARS,@mrmacaronii,218
#EndSARS,@NseIkpeEtim,218
#EndSARS,@Endsarsalready,199
#EndSARS,@AyoJaguda,197
#EndSARS,@HabeebahKareem,197
#EndSARS,@AsapChow,196
#EndSARS,@Crhedrys,184
#EndSARS,@femiexe,174
#EndSARS,@crazeclown,170
#EndSARS,@Letter_to_Jack,156
#EndSARS,@victortheplanet,155
#EndSARS,@thecableng,150
#EndSARS,@manlikesteh,146
#EndSARS,@juiciestofjays,137
#EndSARS,@iamsvdney,129
#EndSARS,@CNNAfrica,126
#EndSARS,@IamKellyJoe,116
#EndSARS,@DamiElebe,114
#EndSARS,@ronn_aa,113
#EndSARS,@Mrtybaba,112
#EndSARS,@Blackdotmandy,111
#EndSARS,@wholelifeismeh,110
#EndSARS,@kofoworola_aa,106
#EndSARS,@y_sulaimon,102
#EndSARS,@annamariapoku,97
#EndSARS,@anuissavage,94
#EndSARS,@Napaul_,93
#EndSARS,@IamTheIroko,90
#EndSARS,@TunjiDisu1,88
#EndSARS,@oladotungbolag1,85
#EndSARS,@xxoorita,85
#EndSARS,@I_Am_Tunechi,84
#EndSARS,@fweshfac3,82
#EndSARS,@BudgITng,81
#EndSARS,@lolaarae_,81
#EndSARS,@SavvyRinu,81
#EndSARS,@ugonna_t,79
#EndSARS,@kingtalldee,79
#EndSARS,@sisi_alagboeko,77
#EndSARS,@IamEtubo,77
#EndSARS,@a_nickabugu,76
#EndSARS,@pandoras_boxe,75
#EndSARS,@HQNigerianArmy,75
#EndSARS,@Babablueh,74
#EndSARS,@TrophyHusbandD,72
#EndSARS,@zine_a,72
#EndSARS,@SammieOluwaseyi,72
#EndSARS,@amaliakalu,71
#EndSARS,@Mistakobz,71
#EndSARS,@mrmanheree,69
#EndSARS,@ProfOsinbajo,69
#EndSARS,@folasanwo,67
#EndSARS,@falzthebahdguy,67
#EndSARS,@MaziIbe_,67
#EndSARS,@lasisielenu,64
#EndSARS,@PremiumTimesng,63
#EndSARS,@iamdjtonessco,62
#EndSARS,@Amchizzy,62
#EndSARS,@n_debbie_n,60
#EndSARS,@bensonedo_,60
#EndSARS,@Overated_____,58
#EndSARS,@Morenike_me,58
#EndSARS,@MaziEzenna,58
#EndSARS,@uchejombo,57
#EndSARS,@PeterFeda,57
#EndSARS,@AkpraiseMedia,57
#EndSARS,@realFFK,57
#EndSARS,@YourAnonCentral,56
#EndSARS,@seunibitoyeblog,56
#EndSARS,@BigMan_Xander,55
#EndSARS,@adekunleGOLD,54
#EndSARS,@icecube,54
#EndSARS,@defnotprilayz,54
#EndSARS,@neutrallyfatal,52
#EndSARS,@BBCAfrica,51
#EndSARS,@cnnbrk,51
#EndSARS,@AfroVII,50
#EndSARS,@UN,50
#EndSARS,@ola_chalcedony,50
#EndSARS,@thisbaptista,49
#EndSARS,@segalink,49
#EndSARS,@IMhiday,47
#EndSARS,@_harrisonJNR,47
#EndSARS,@fkabudu,47
#EndSARS,@SaharaReporters,47
#EndSARS,@CashGuana,46
#EndSARS,@channelstv,46
#EndSARS,@saintdemarcus,44
#EndSARS,@vanguardngrnews,44
#EndSARS,@StephanieBusari,44
#EndSARS,@_Demiiee,43
#EndSARS,@OmoGbajaBiamila,42
#EndSARS,@diorbbyy_,42
#EndSARS,@AFNewsNG,42
#EndSARS,@the_MIEDE,41
#EndSARS,@Adxpillar,41
#EndSARS,@nottemilade,41
#EndSARS,@TundeTASH,40
#EndSARS,@abieyuwaxo,40
#EndSARS,@always_nigerian,39
#EndSARS,@OSSYACHIEVAS,39
#EndSARS,@otchi_,38
#EndSARS,@Yemzine,37
#EndSARS,@AshleyOkoli,36
#EndSARS,@oluwabukolaaa,35
#EndSARS,@betty_nwabunike,35
#EndSARS,@funmi_adeoti,35
#EndSARS,@fathereny,35
#EndSARS,@Holashots,34
#EndSARS,@tobi_danni15,33
#EndSARS,@___Faye,33
#EndSARS,@AlJazeera,33
#EndSARS,@ichizoba,33
#EndSARS,@NdaliOzegbe,33
#EndSARS,@larabillionaire,32
#EndSARS,@Sports_Doctor2,32
#EndSARS,@Baffah___,30
#EndSARS,@itz_mazine,30
#EndSARS,@SpecialSlim,30
#EndSARS,@maxvayshia,30
#EndSARS,@UjuCrystall,29
#EndSARS,@ASUUNGR,29
#EndSARS,@TAPOCALYPSEASH,28
#EndSARS,@Joshibirogba,28
#EndSARS,@estarius,28
#EndSARS,@Farrie_O,28
#EndSARS,@NativeMag,27
#EndSARS,@effodu,27
#EndSARS,@iefamharris,27
#EndSARS,@instablog9ja,27
#EndSARS,@DONJAZZY,26
#EndSARS,@Engr_Wil,26
#EndSARS,@OGBENI_BAMBAM,26
#EndSARS,@fireboydml,25
#EndSARS,@boluxxxx,25
#EndSARS,@cnni,25
#EndSARS,@immaniiie,25
#EndSARS,@obyezeks,24
#EndSARS,@Alex_Houseof308,24
#EndSARS,@Lexxxy_z,24
#EndSARS,@omobolasuccess,24
#EndSARS,@LadiPoe,24
#EndSARS,@small__madam,24
#EndSARS,@amoafoa_,24
#EndSARS,@Ellyment247,24
#EndSARS,@sa_vvy_,24
#EndSARS,@SympLySimi,24
#EndSARS,@unicodeveloper,24
#EndSARS,@g0thfairyy,23
#EndSARS,@MoyosoreKuti,23
#EndSARS,@_wapnen,23
#EndSARS,@demigod_zen,23
#EndSARS,@opemidimeji_xo,23
#EndSARS,@AishaYesufu,23
#EndSARS,@_theprincealex,23
#EndSARS,@isoemi_,22
#EndSARS,@BBCWorld,22
#EndSARS,@Aderinsola_O,22
#EndSARS,@bimboristic,22
#EndSARS,@LavijuHotels,22
#EndSARS,@eniolakiite,22
#EndSARS,@eko_daddy,22
#EndSARS,@BBCNews,21
#EndSARS,@Mhizz_Bee,21
#EndSARS,@mudashiru_obasa,21
#EndSARS,@Omotolaesther33,21
#EndSARS,@Omo_Toyosi97,21
#EndSARS,@Spicy_tai,21
#EndSARS,@chukaobi,21
#EndSARS,@morenikeCM,21
#EndSARS,@oluwa_millarr,21
#EndSARS,@Youngbodzy,20
#EndSARS,@NigeriaGov,20
#EndSARS,@AbangMercy,20
#EndSARS,@VillageParrot,20
#EndSARS,@pmnewsnigeria,20
#EndSARS,@ChinasaNworu,20
#EndSARS,@heli0si,20
#EndSARS,@PeterPsquare,19
#EndSARS,@IgboHistoFacts,19
#EndSARS,@boollizz,19
#EndSARS,@davido,19
#EndSARS,@SDrachma,18
#EndSARS,@eniola69590220,18
#EndSARS,@maeyojoie,18
#EndSARS,@mqrck__ugs,18
#EndSARS,@_greatvybz,18
#EndSARS,@i_amlucky,18
#EndSARS,@Mochievous,18
#EndSARS,@sayityo,17
#EndSARS,@TumiObasanmi,17
#EndSARS,@Iam_DaddyTom02,17
#EndSARS,@jeloxanbregaz_,17
#EndSARS,@AdoraNwodo,17
#EndSARS,@TheNationNews,17
#EndSARS,@UnclePamilerin,17
#EndSARS,@Illustrious_Cee,17
#EndSARS,@IntlCrimCourt,17
#EndSARS,@HansrajMeena,16
#EndSARS,@zizzycarter,16
#EndSARS,@debbiiejohnson,16
#EndSARS,@therealdaddymo1,16
#EndSARS,@AdeBanqie,16
#EndSARS,@wizkidayo,16
#EndSARS,@FeyiMac,16
#EndSARS,@IFEontheMIC,15
#EndSARS,@_DammyB_,15
#EndSARS,@UNHumanRights,15
#EndSARS,@adexmee,15
#EndSARS,@Dontegio,15
#EndSARS,@followlasg,15
#EndSARS,@AsiwajuLerry,15
#EndSARS,@MomentsWithBren,15
#EndSARS,@akin_oluseun,14
#EndSARS,@UKinNigeria,14
#EndSARS,@AmnestyNigeria,14
#EndSARS,@MissAdaoha,14
#EndSARS,@D_Diaku,14
#EndSARS,@realDonaldTrump,14
#EndSARS,@iconoflagos,14
#EndSARS,@AbbaAkogwu,14
#EndSARS,@FabianThaFirst,14
#EndSARS,@FoxNews,14
#EndSARS,@_mrfemi,14
#EndSARS,@bluegirlolu,14
#EndSARS,@Raeblaq,14
#EndSARS,@Emmanue23474848,13
#EndSARS,@Fehyie,13
#EndSARS,@iAM_JiZZi,13
#EndSARS,@MabeAhiaba,13
#EndSARS,@Basma_bage,13
#EndSARS,@i_am_TOMBARI,13
#EndSARS,@Dusten_Truce,13
#EndSARS,@rereayodele,13
#EndSARS,@hypeman_kellytv,13
#EndSARS,@pwealth_,13
#EndSARS,@NGRPresident,13
#EndSARS,@PharmZay,13
#EndSARS,@Spectraaah,13
#EndSARS,@_mrmacaroni,13
#EndSARS,@everythingetse,12
#EndSARS,@echoesofisrael,12
#EndSARS,@botkingoflagos,12
#EndSARS,@WinnieIguwa,12
#EndSARS,@AM_Saleeem,12
#EndSARS,@wendyshaygh,12
#EndSARS,@firstladyship,12
#EndSARS,@rakaromie,12
#EndSARS,@Savvyrinu___,12
#EndSARS,@soyeee_,12
#EndSARS,@BBCBreaking,12
#EndSARS,@thedon_seyi,12
#EndSARS,@iFahvoh,12
#EndSARS,@MisterNigerD,12
#EndSARS,@TheToluDaniels_,12
#EndSARS,@TheObiLeonard,12
#EndSARS,@jus_rare,12
#EndSARS,@omo_daddybolaji,12
#EndSARS,@oxladeofficial,11
#EndSARS,@bamitohan,11
#EndSARS,@SAMKLEF,11
#EndSARS,@TheDailyShow,11
#EndSARS,@mrmaccaroni_,11
#EndSARS,@ukairoukairo,11
#EndSARS,@lindaikeji,11
#EndSARS,@adelateef001,11
#EndSARS,@H_L_MA,11
#EndSARS,@daily_trust,11
#EndSARS,@cassydglitz,11
#EndSARS,@OzzyPaul,11
#EndSARS,@Dumeebi_,11
#EndSARS,@AJEnglish,11
#EndSARS,@itsLaycon,11
#EndSARS,@nyansenyi,11
#EndSARS,@_fflur,11
#EndSARS,@Niifemi_nife,11
#EndSARS,@princericharddb,11
#EndSARS,@TheIfedolapo,11
#EndSARS,@kawoniyi,11
#EndSARS,@lydiaaofficial,11
#EndSARS,@_Teewo,11
#EndSARS,@AyinketheMUA,11
#EndSARS,@milli_cent_,11
#EndSARS,@cooldeejaysmith,11
#EndSARS,@DrOlufunmilayo,11
#EndSARS,@rudeboypsquare,10
#EndSARS,@Precious_Tooyin,10
#EndSARS,@iamkmod,10
#EndSARS,@PoliceNG_CRU,10
#EndSARS,@Bapha_congo,10
#EndSARS,@itsMOSA,10
