src,dst,count
(#COVID19&#herdimmunity),@TheLancet,67
(#COVID19&#herdimmunity),@DrEricDing,16
(#COVID19&#herdimmunity),@WHO,4
(#COVID19&#herdimmunity),@SouthAfricanASP,3
(#COVID19&#herdimmunity),@WordswithSteph,3
(#COVID19&#herdimmunity),@ABPNews,2
(#COVID19&#herdimmunity),@DrZweliMkhize,2
(#COVID19&#herdimmunity),@KamalaHarris,2
(#COVID19&#herdimmunity),@BildungSicherDE,2
(#COVID19&#herdimmunity),@NickSawyerMD,2
(#COVID19&#herdimmunity),@thehindubiz,2
(#COVID19&#herdimmunity),@UNReliefChief,2
(#COVID19&#herdimmunity),@usedgov,1
(#COVID19&#herdimmunity),@martinhoyes,1
(#COVID19&#herdimmunity),@UNinIndia,1
(#COVID19&#herdimmunity),@realDonaldTrump,1
(#COVID19&#herdimmunity),@TV78Officiel,1
(#COVID19&#herdimmunity),@SimonGilbody,1
(#COVID19&#herdimmunity),@hajekd,1
(#COVID19&#herdimmunity),@Mi_eL49,1
(#COVID19&#herdimmunity),@BetsyDeVosED,1
(#COVID19&#herdimmunity),@BoyensMedien,1
(#COVID19&#herdimmunity),@pbo4us12,1
(#COVID19&#herdimmunity),@rocioneumo,1
(#COVID19&#herdimmunity),@maxplanckpress,1
(#COVID19&#herdimmunity),@ChariteBerlin,1
(#COVID19&#herdimmunity),@21WIRE,1
(#COVID19&#herdimmunity),@thrive,1
(#COVID19&#herdimmunity),@humanra08336918,1
(#COVID19&#herdimmunity),@TUBerlin,1
(#COVID19&#herdimmunity),@BigBlueWaveUSA,1
(#COVID19&#herdimmunity),@CatchNews,1
(#COVID19&#herdimmunity),@jaredkushner,1
(#COVID19&#herdimmunity),@DrCFord,1
(#COVID19&#herdimmunity),@srfnews,1
(#COVID19&#herdimmunity),@AforArizona,1
(#COVID19&#herdimmunity),@VishvasSarang,1
(#COVID19&#herdimmunity),@alex_baur,1
(#COVID19&#herdimmunity),@sahilkapur,1
(#COVID19&#herdimmunity),@normanswan,1
(#COVID19&#herdimmunity),@comilla_s,1
(#COVID19&#herdimmunity),@DNC,1
(#COVID19&#herdimmunity),@YoungMindsUK,1
(#COVID19&#herdimmunity),@edokeefe,1
(#COVID19&#herdimmunity),@EsperanzaGomez,1
(#COVID19&#herdimmunity),@esureL,1
(#COVID19&#herdimmunity),@Belex70,1
(#COVID19&#herdimmunity),@dougducey,1
(#COVID19&#herdimmunity),@networkforphl,1
(#COVID19&#herdimmunity),@AsPoissyFoot,1
(#COVID19&#herdimmunity),@WorldBank,1
(#COVID19&#herdimmunity),@wasserelch,1
(#COVID19&#herdimmunity),@dpradhanbjp,1
(#COVID19&#herdimmunity),@Chi_agozie,1
(#COVID19&#herdimmunity),@UniOfYork,1
(#COVID19&#herdimmunity),@HarassNoMore,1
(#COVID19&#herdimmunity),@EckerleIsabella,1
(#COVID19&#herdimmunity),@JenniUrsula,1
(#COVID19&#herdimmunity),@Medicilio,1
(#COVID19&#herdimmunity),@WHOPhilippines,1
(#COVID19&#herdimmunity),@HowardQuayleMHK,1
(#COVID19&#herdimmunity),@foogatwo,1
(#COVID19&#herdimmunity),@dpa,1
(#COVID19&#herdimmunity),@JoeBiden,1
(#COVID19&#herdimmunity),@hermitdenzahlen,1
(#COVID19&#herdimmunity),@BildungSicherB,1
(#COVID19&#herdimmunity),@GaetanBurgio,1
(#COVID19&#herdimmunity),@Paeddy1994_yt,1
(#COVID19&#herdimmunity),@soloyochapin,1
(#COVID19&#herdimmunity),@MikeMuellerLate,1
(#COVID19&#herdimmunity),@PHX_Int_Academy,1
(#COVID19&#herdimmunity),@MittRomney,1
