src,dst,count
#ENDSARS,#ENDSWAT,925
#ENDSARS,#EndSARS,191
#ENDSARS,#ENDBADGOVERNANCE,97
#ENDSARS,#SARSMUSTEND,49
#ENDSARS,#ILORINPROTEST,35
#ENDSARS,#EndPoliceBrutalityinNigera,32
#ENDSARS,#EndPoliceBrutalityinNigeria,30
#ENDSARS,#vanguardnews,30
#ENDSARS,#ENDPOLICEBRUTALITY,25
#ENDSARS,#EndPoliceBrutality,25
#ENDSARS,#ENDSARSNOW,21
#ENDSARS,#ENDNIGERIANOW,20
#ENDSARS,#BiafraLand,20
#ENDSARS,#OldEastern,20
#ENDSARS,#ENDNGRSENATE,20
#ENDSARS,#BUHARIMUSTNOTSHUTDOWNINTERNET,18
#ENDSARS,#EndSWAT,17
#ENDSARS,#EndBadGovernmentinNIGERIA,13
#ENDSARS,#Abuja,13
#ENDSARS,#irolinprotest,13
#ENDSARS,#SOROSOKE,12
#ENDSARS,#EndSarsNowNow,9
#ENDSARS,#ENDSARSwe,8
#ENDSARS,#EndBadGoveranceInNigeria,8
#ENDSARS,#OccupyAbuja,6
#ENDSARS,#BETTERNIGERIA,4
#ENDSARS,#SecureNorth,4
#ENDSARS,#EndSarsNow,4
#ENDSARS,#ilorinprotest,3
#ENDSARS,#SARAMUSTEND,3
#ENDSARS,#ENDPOLICEBRUTALITYINNIGERIA,3
#ENDSARS,#EndInsecurity,3
#ENDSARS,#BadGovernanceInNigeria,3
#ENDSARS,#ENDEXTRAJUDICIALKILLINGS,3
#ENDSARS,#AbujaProtests,3
#ENDSARS,#AbujaProtest,3
#ENDSARS,#PoliceBrutality,3
#ENDSARS,#EndOrganisedRobbery,2
#ENDSARS,#EndInsecurityInNigeria,2
#ENDSARS,#ABUJAPROTESTS,2
#ENDSARS,#5for5,2
#ENDSARS,#EndPoliceBrutalityNigeria,2
#ENDSARS,#EndSWATNow,2
#ENDSARS,#abuj,2
#ENDSARS,#mondaythoughts,2
#ENDSARS,#Neco,2
#ENDSARS,#EndSwatNow,2
#ENDSARS,#EndPoliceBrutalityInNigeriaNow,2
#ENDSARS,#retweet,2
#ENDSARS,#StopKillingNigerianYouths,2
#ENDSARS,#education,2
#ENDSARS,#EndSwat,2
#ENDSARS,#BuhariMustGo,2
#ENDSARS,#TREM,2
#ENDSARS,#EndNASSpay,2
#ENDSARS,#ENDBADGOVERNANCEINNIGERIA,2
#ENDSARS,#SwatMustEnd,2
#ENDSARS,#EndInsecurityNow,2
#ENDSARS,#SackIGP,2
#ENDSARS,#EndBadGovernanceinNIGERIA,2
#ENDSARS,#Policebrutality,2
#ENDSARS,#SagirMusa,2
#ENDSARS,#CongoIsBleeding,2
#ENDSARS,#SWAT,2
#ENDSARS,#ENDBADGOVERANCE,1
#ENDSARS,#RETWEET_NOW,1
#ENDSARS,#ENDINSECURITYNOW,1
#ENDSARS,#ENDOPPRESSIOM,1
#ENDSARS,#ExtraJudicialKillings,1
#ENDSARS,#IGPResignNow,1
#ENDSARS,#NEWNIGERIA,1
#ENDSARS,#NigeriaYouth4Peace,1
#ENDSARS,#NigerianArmy,1
#ENDSARS,#SECURENORTH,1
#ENDSARS,#ReformTheNigeriaPolice,1
#ENDSARS,#RestructureNigeria,1
#ENDSARS,#SURULEREPROTEST,1
#ENDSARS,#Buhari,1
#ENDSARS,#annonymous,1
#ENDSARS,#BuhariResign,1
#ENDSARS,#ENDCORRUPTION,1
#ENDSARS,#ReformNigeria,1
#ENDSARS,#Endbadgovernace,1
#ENDSARS,#FREETHEYOUTH,1
#ENDSARS,#FVCKTHEHATE,1
#ENDSARS,#MondayMorning,1
#ENDSARS,#DayofBlack,1
#ENDSARS,#Endcorruption,1
#ENDSARS,#BeninCity,1
#ENDSARS,#TachaPrays4Naija,1
#ENDSARS,#Endsars,1
#ENDSARS,#ANewNigeria,1
#ENDSARS,#EDOSTATE,1
#ENDSARS,#ENDBADGOVERANCEINNIGERIA,1
#ENDSARS,#ENDEVERYTHING,1
#ENDSARS,#ENDFAKEPROMISE,1
#ENDSARS,#END_BAD_GOVERNANCE,1
#ENDSARS,#END_POLICE_BRUTALITY_IN_NIGERIA,1
#ENDSARS,#ENSWAT,1
#ENDSARS,#EndBadGoveranceInNigeriA,1
#ENDSARS,#TraderMoni,1
#ENDSARS,#Entertainment,1
#ENDSARS,#ArrestKillerOfficers,1
#ENDSARS,#MondayMotivation,1
#ENDSARS,#Mondaymotivation,1
#ENDSARS,#POLICEBRUTALITY,1
#ENDSARS,#REFORM_POLICE,1
#ENDSARS,#REFORM_THE_SYSTEM,1
#ENDSARS,#SARMUSTEND,1
#ENDSARS,#achieveyourgoals,1
#ENDSARS,#beempowered,1
#ENDSARS,#beinspired,1
#ENDSARS,#lasisielenu,1
#ENDSARS,#sorosoke247,1
#ENDSARS,#PoliceBrutalityInNigeria,1
#ENDSARS,#QueerNigerianlivesmatter,1
#ENDSARS,#EndNigeriaNow,1
#ENDSARS,#OpNigeria,1
#ENDSARS,#zoro,1
#ENDSARS,#SARS,1
#ENDSARS,#20yearsSlaveryInEnugu,1
#ENDSARS,#MuhammaduBuhari,1
#ENDSARS,#ENDSWATINNIGERIA,1
#ENDSARS,#NIGERIANLIVESMATTER,1
#ENDSARS,#ReformTheNigerianPolice,1
#ENDSARS,#endsars,1
#ENDSARS,#flavor,1
#ENDSARS,#kc,1
#ENDSARS,#phyno,1
#ENDSARS,#ENDTHISSHITVERYSOON,1
#ENDSARS,#animals,1
#ENDSARS,#ENDSARSBRUTALITY,1
#ENDSARS,#ENDPOLICEBRUATALITY,1
#ENDSARS,#Update,1
#ENDSARS,#5of5,1
#ENDSARS,#BetterTogether,1
#ENDSARS,#StopPoliceBrutalityinNigeria,1
#ENDSARS,#ENDPOLICEBRUTALITYINNIGERA,1
#ENDSARS,#EndHikeinElectricityTariff,1
#ENDSARS,#GOODGOVERNANCE,1
#ENDSARS,#Endswat,1
#ENDSARS,#Endpolicebrutality,1
#ENDSARS,#RIP,1
#ENDSARS,#endcorruption,1
#ENDSARS,#SidewithNigeria,1
#ENDSARS,#RECONSTRUCTNIGERIA,1
#ENDSARS,#TheWarAgainstMalaria,1
#ENDSARS,#Lekki,1
#ENDSARS,#Endinsecurity,1
#ENDSARS,#soldierslivesmatters,1
#ENDSARS,#ENDNIGERIA,1
#ENDSARS,#ENDNIGERIAPOLITICS,1
#ENDSARS,#EndBadGovernance,1
#ENDSARS,#EndASUUStrike,1
#ENDSARS,#EndSARSImmediately,1
#ENDSARS,#GIVEUSOURRIGHT,1
#ENDSARS,#NasarawaProtest,1
#ENDSARS,#ReformTheSystem,1
#ENDSARS,#ENPOLICEBRUTALITY,1
#ENDSARS,#SECURETHENORTH,1
#ENDSARS,#ENDYOUTHPROFILING,1
#ENDSARS,#sorosoke,1
#ENDSARS,#ENDBADGOVERNMENT,1
#ENDSARS,#EndBadGovernanceInNigeriaNow,1
#ENDSARS,#EndPoliceBrutalityInNigeria,1
#ENDSARS,#FOCUS,1
