src,dst,count
$36327407,@HTSportsNews,8
$36327407,@avinashdnr,2
$36327407,@hthealthshots,2
$36327407,@htshowbiz,2
$36327407,@HTSmartcast,2
$36327407,@htdelhi,2
$36327407,@rahulsinghx,1
$36327407,@shivsunny,1
$36327407,@drharshvardhan,1
$36327407,@AmitShah,1
$36327407,@HTMumbai,1
$36327407,@SDhawan25,1
$36327407,@ananthanarayan,1
$36327407,@sonalkalra,1
$36327407,@HTPunjab,1
$36327407,@IndianFootball,1
$36327407,@Shalaka_Shinde,1
$36327407,@chetrisunil11,1
$36327407,@debabrata2008,1
$36327407,@htpune,1
$36327407,@HTAutotweets,1
