src,dst,count
#EndSARS,#EndPoliceBrutalityinNigera,6444
#EndSARS,#EndSWAT,5421
#EndSARS,#ENDBADGOVERNANCE,3798
#EndSARS,#EndPoliceBrutality,3307
#EndSARS,#EndPoliceBrutalityinNigeria,2115
#EndSARS,#EndBadGoveranceInNigeria,2043
#EndSARS,#BBCAfricaEye,1629
#EndSARS,#ENDswat,1619
#EndSARS,#ilorinprotest,1555
#EndSARS,#TREM,1055
#EndSARS,#EndInsecurity,1020
#EndSARS,#HappeningNow,882
#EndSARS,#TOTWHU,788
#EndSARS,#EndBadGovernmentinNIGERIA,641
#EndSARS,#EndSarsNow,600
#EndSARS,#BETTERNIGERIA,589
#EndSARS,#ThisIsWhyWeProtest,576
#EndSARS,#EndBadGovernanceinNIGERIA,482
#EndSARS,#ReformTheNigeriaPolice,461
#EndSARS,#ReformNigeriaPolice,459
#EndSARS,#EndSars,433
#EndSARS,#ReformNigeria,414
#EndSARS,#sorosoke247,381
#EndSARS,#BetterTogether,376
#EndSARS,#EndBadGoverance,334
#EndSARS,#EndInsecurityInNigeria,276
#EndSARS,#AkwuzuSars,246
#EndSARS,#AbujaProtests,205
#EndSARS,#EndSWATNow,205
#EndSARS,#SARSMUSTEND,202
#EndSARS,#ENDSARS,194
#EndSARS,#aBetterNigeria,186
#EndSARS,#MondayMotivation,181
#EndSARS,#QueerNigerianlivesmatter,179
#EndSARS,#BuhariResignNow,171
#EndSARS,#RevolutionNow,170
#EndSARS,#EndSARSImmediately,167
#EndSARS,#TachaWantsJustice,160
#EndSARS,#sorosoke,156
#EndSARS,#RECONSTRUCTNIGERIA,148
#EndSARS,#TachaPrays4Naija,147
#EndSARS,#Beninprotest,144
#EndSARS,#BuhariHasBeenABadBoy,140
#EndSARS,#SideWithNigeria,138
#EndSARS,#EndNigeriaNow,135
#EndSARS,#SecureNorthNow,127
#EndSARS,#EndSARSBrutality,126
#EndSARS,#BadGovernanceInNigeria,121
#EndSARS,#AbujaTwitterCommunity,119
#EndSARS,#5for5,117
#EndSARS,#Fire,114
#EndSARS,#FireLHF,112
#EndSARS,#BuhariMustGo,109
#EndSARS,#endsars,109
#EndSARS,#CurrentSituation,109
#EndSARS,#Protest,108
#EndSARS,#Enugu,108
#EndSARS,#Anticipate,108
#EndSARS,#ReformPoliceNG,107
#EndSARS,#ArrestKillerOfficers,104
#EndSARS,#Nigeria,96
#EndSARS,#SecureNorth,96
#EndSARS,#SarsMustGo,84
#EndSARS,#EndSARSProtest,83
#EndSARS,#tradermoni,77
#EndSARS,#AbujaProtest,75
#EndSARS,#PoliceBrutalityInNigeria,74
#EndSARS,#BuhariResign,73
#EndSARS,#SARS,72
#EndSARS,#vanguardnews,71
#EndSARS,#NewNigeria,69
#EndSARS,#Anonymous,63
#EndSARS,#SARSMUSTENDNOW,58
#EndSARS,#mondaythoughts,58
#EndSARS,#EndInsecurityNow,57
#EndSARS,#AbolishSARS,54
#EndSARS,#EndPoliceBrutalitynow,53
#EndSARS,#SarsMustGoNow,50
#EndSARS,#EndAsuuStrikeNow,48
#EndSARS,#OpNigeria,46
#EndSARS,#EndCorruptionInNigeria,44
#EndSARS,#ANTHONYONOME,43
#EndSARS,#EndBadGovernance,43
#EndSARS,#EndSWATinNigeria,42
#EndSARS,#NigerianLivesMatter,41
#EndSARS,#Endsars,40
#EndSARS,#JusticeforSARSvictims,40
#EndSARS,#PledgetoEndSars,39
#EndSARS,#EndNASSpay,38
#EndSARS,#RestructureNigeriaNow,36
#EndSARS,#ENDSWAT,36
#EndSARS,#sorosokeradio,36
#EndSARS,#stargirlerica,35
#EndSARS,#SWATMUSTEND,34
#EndSARS,#ImpeachBuhari,32
#EndSARS,#EndPoliceBrutalityInNigeria,31
#EndSARS,#Dadiyata,31
#EndSARS,#EndBadGovernment,30
#EndSARS,#NewNigeriaArise,30
#EndSARS,#5of5,30
#EndSARS,#EndPoliceBrutalityInNigeriaNow,30
#EndSARS,#NigeriaYouthsLiveMatter,29
#EndSARS,#JosProtest,29
#EndSARS,#ALutaContinua,29
#EndSARS,#sorosokewerey,28
#EndSARS,#IGPResignNow,28
#EndSARS,#WeMove,27
#EndSARS,#ANewNigeria,27
#EndSARS,#Ekitiprotest,27
#EndSARS,#StopKillingNigerianYouths,27
#EndSARS,#BadgovernmentinNigeria,26
#EndSARS,#RestructureNigeria,25
#EndSARS,#endpolicebrutality,25
#EndSARS,#EndNorthBanditry,24
#EndSARS,#endswat,24
#EndSARS,#evanslifematters,24
#EndSARS,#EndNASS,24
#EndSARS,#NASSPayCutNow,24
#EndSARS,#buharilifematter,24
#EndSARS,#EndSAR,24
#EndSARS,#occupyCBN,23
#EndSARS,#Abuja,23
#EndSARS,#PoliceBrutality,23
#EndSARS,#End,23
#EndSARS,#SarsMustEnd,23
