src,dst,count
#EndSARS,#EndPoliceBrutalityinNigera,3855
#EndSARS,#ENDBADGOVERNANCE,1755
#EndSARS,#EndSWAT,1718
#EndSARS,#EndBadGoveranceInNigeria,1406
#EndSARS,#EndPoliceBrutality,1379
#EndSARS,#BBCAfricaEye,1332
#EndSARS,#ilorinprotest,922
#EndSARS,#TREM,713
#EndSARS,#ENDswat,705
#EndSARS,#EndPoliceBrutalityinNigeria,664
#EndSARS,#EndInsecurity,659
#EndSARS,#TOTWHU,509
#EndSARS,#EndBadGovernmentinNIGERIA,485
#EndSARS,#EndSarsNow,439
#EndSARS,#ThisIsWhyWeProtest,417
#EndSARS,#BETTERNIGERIA,368
#EndSARS,#ReformTheNigeriaPolice,363
#EndSARS,#ReformNigeria,339
#EndSARS,#EndBadGoverance,310
#EndSARS,#ReformNigeriaPolice,309
#EndSARS,#EndBadGovernanceinNIGERIA,303
#EndSARS,#BetterTogether,287
#EndSARS,#EndInsecurityInNigeria,210
#EndSARS,#HappeningNow,188
#EndSARS,#aBetterNigeria,165
#EndSARS,#ENDSARS,159
#EndSARS,#TachaWantsJustice,146
#EndSARS,#EndSWATNow,145
#EndSARS,#RevolutionNow,141
#EndSARS,#TachaPrays4Naija,126
#EndSARS,#EndSars,119
#EndSARS,#SARSMUSTEND,115
#EndSARS,#QueerNigerianlivesmatter,113
#EndSARS,#BuhariResignNow,113
#EndSARS,#EndSARSBrutality,109
#EndSARS,#RECONSTRUCTNIGERIA,104
#EndSARS,#SecureNorthNow,99
#EndSARS,#ReformPoliceNG,83
#EndSARS,#Enugu,82
#EndSARS,#BuhariHasBeenABadBoy,81
#EndSARS,#tradermoni,76
#EndSARS,#sorosoke,73
#EndSARS,#SecureNorth,72
#EndSARS,#BuhariMustGo,72
#EndSARS,#Protest,69
#EndSARS,#ArrestKillerOfficers,59
#EndSARS,#AbujaProtest,57
#EndSARS,#AbujaTwitterCommunity,57
#EndSARS,#SarsMustGo,56
#EndSARS,#endsars,49
#EndSARS,#EndSARSProtest,47
#EndSARS,#5for5,46
#EndSARS,#Nigeria,45
#EndSARS,#BadGovernanceInNigeria,43
#EndSARS,#SARS,42
#EndSARS,#EndNigeriaNow,40
#EndSARS,#AbolishSARS,40
#EndSARS,#SarsMustGoNow,37
#EndSARS,#EndPoliceBrutalitynow,37
#EndSARS,#NigerianLivesMatter,36
#EndSARS,#EndSARSImmediately,36
#EndSARS,#BuhariResign,34
#EndSARS,#NewNigeria,34
#EndSARS,#JusticeforSARSvictims,33
#EndSARS,#stargirlerica,33
#EndSARS,#Anonymous,33
