src,dst,count
#COVID19,@DrEricDing,49658
#COVID19,@realDonaldTrump,36350
#COVID19,@POTUS,16076
#COVID19,@WHO,12894
#COVID19,@BerniceKing,9123
#COVID19,@Laurie_Garrett,5856
#COVID19,@TheLancet,4964
#COVID19,@glamelegance,3144
#COVID19,@JoeBiden,3126
#COVID19,@soloyochapin,3090
#COVID19,@SJMorrison_,2984
#COVID19,@MelGohCNA,2968
#COVID19,@levparnas,2834
#COVID19,@halltoons,2768
#COVID19,@SecretService,2663
#COVID19,@WhiteHouse,2614
#COVID19,@SKYRIDER4538,2603
#COVID19,@SenDuckworth,2510
#COVID19,@Dr2NisreenAlwan,2276
#COVID19,@VP,2247
#COVID19,@Mediavenir,2041
#COVID19,@TheSWPrincess,1801
#COVID19,@DrGJackBrown,1692
#COVID19,@AprilDRyan,1469
#COVID19,@JAMA_current,1438
#COVID19,@AdrBell,1272
#COVID19,@schroeder_k,1066
#COVID19,@dockaurG,957
#COVID19,@GOP,884
#COVID19,@Craig_A_Spencer,845
#COVID19,@ConservaMomUSA,830
#COVID19,@NSLforBiden,825
#COVID19,@Maryam_Rajavi,820
#COVID19,@ColSDM,730
#COVID19,@morethanmySLE,677
#COVID19,@CNN,609
#COVID19,@EricTrump,597
#COVID19,@seanspicer,589
#COVID19,@StockholmCF,587
#COVID19,@SierraWhiskee,526
#COVID19,@TheRealHoarse,523
#COVID19,@DrSubhasree,493
#COVID19,@FLOTUS,485
#COVID19,@Tombx7M,470
#COVID19,@itsJeffTiedrich,459
#COVID19,@ImDarrenDunn2,454
#COVID19,@Novemberbeetle,434
#COVID19,@MayWongCNA,430
#COVID19,@GaetanEscorbiac,374
#COVID19,@mikandynothem,372
#COVID19,@blackwomenviews,361
#COVID19,@IIPPGob,329
#COVID19,@TalbertSwan,328
#COVID19,@DrZweliMkhize,326
#COVID19,@BorisJohnson,310
#COVID19,@SHomburg,304
#COVID19,@DrDenaGrayson,300
#COVID19,@enriquelanuit,296
#COVID19,@SenJoniErnst,296
#COVID19,@Winnie_Byanyima,289
#COVID19,@DrTedros,288
#COVID19,@MichaelT_45,274
#COVID19,@JaiveerShergill,272
#COVID19,@disclosetv,270
#COVID19,@Iromg,263
#COVID19,@renoomokri,255
#COVID19,@DNC,254
#COVID19,@TheDailyEdge,237
#COVID19,@CDCgov,235
#COVID19,@YourAnonCentral,232
#COVID19,@julianzelizer,224
#COVID19,@drapr007,222
#COVID19,@Aliciastarr001,220
#COVID19,@SnteNacional,220
#COVID19,@ColleenHuberNMD,217
#COVID19,@segalink,216
#COVID19,@IMAIndiaOrg,216
#COVID19,@cikojr8800,215
#COVID19,@DickPumpaloaf,213
#COVID19,@DrRobDavidson,212
#COVID19,@grantstern,207
#COVID19,@HimalayaGlobal,207
#COVID19,@CoronaDoubter,205
#COVID19,@Finanzas_Times,198
#COVID19,@newsmax,197
#COVID19,@nobisha,192
#COVID19,@ProjectLincoln,191
#COVID19,@WordswithSteph,191
#COVID19,@rigotordoc,189
#COVID19,@USCG,185
#COVID19,@XHNews,185
#COVID19,@CBS_Herridge,185
#COVID19,@GordonGChang,181
#COVID19,@2013Boodicca,176
#COVID19,@AnonymeCitoyen,171
#COVID19,@SenateGOP,169
#COVID19,@TruthsOverTrump,162
#COVID19,@CatesDuane,156
#COVID19,@bright_aluminum,153
#COVID19,@docrussjackson,150
#COVID19,@UNMC_DrKhan,137
#COVID19,@KamalaHarris,136
#COVID19,@MadFckingWitch,135
#COVID19,@KellyannePolls,132
#COVID19,@htTweets,131
#COVID19,@MSNBC,129
#COVID19,@ThinkinPatriot,129
#COVID19,@DougBillings,127
#COVID19,@MemphoNewsLady,127
#COVID19,@ashoswai,126
#COVID19,@WybrenvanHaga,124
#COVID19,@ONS,121
#COVID19,@Cartoon4sale,120
#COVID19,@cardiacACCP,118
#COVID19,@PressSec,117
#COVID19,@realBobWoodward,116
#COVID19,@lauferlaw,114
#COVID19,@Cristiano,111
#COVID19,@jack,111
#COVID19,@SkyNews,110
#COVID19,@JohanaTablada,108
#COVID19,@ANI,106
#COVID19,@PabloFuente,102
#COVID19,@HKrassenstein,101
#COVID19,@LaurelCoons,100
#COVID19,@EckerleIsabella,100
#COVID19,@TeamTrump,99
#COVID19,@ddale8,98
#COVID19,@ndtv,96
#COVID19,@BogochIsaac,96
#COVID19,@atrupar,95
#COVID19,@eruizescudero,95
#COVID19,@Conservatives,94
#COVID19,@JoJoFromJerz,94
#COVID19,@fordmb1,94
#COVID19,@AgentP22,93
#COVID19,@nytimes,93
#COVID19,@BlackDo04913777,92
#COVID19,@benshapiro,92
#COVID19,@lservies,90
#COVID19,@SallyDeal4,89
#COVID19,@GovCTW,88
#COVID19,@Acosta,87
#COVID19,@kakape,87
#COVID19,@WaytowichNeil,87
#COVID19,@DolphinDemVoter,87
#COVID19,@vegix,86
#COVID19,@ThatTimWalker,86
#COVID19,@Jimcorrsays,85
#COVID19,@GovRonDeSantis,84
#COVID19,@AriffShihab,84
#COVID19,@DeniseShearin,83
#COVID19,@CIVICUSMonitor,82
#COVID19,@MaximeBernier,82
#COVID19,@senatemajldr,81
#COVID19,@AndyOstroy,80
#COVID19,@coreyreynoldsLA,78
#COVID19,@c_drosten,78
#COVID19,@TheAtlantic,74
#COVID19,@erikbryn,73
#COVID19,@LHSummers,73
#COVID19,@Cutler_econ,73
#COVID19,@cris_cersei,72
#COVID19,@FoxNews,72
#COVID19,@Mike_Pence,70
#COVID19,@rki_de,69
#COVID19,@Alyssa_Milano,68
#COVID19,@FAUGewerkschaft,68
#COVID19,@MirMAKOfficial,68
#COVID19,@LRPow79,67
#COVID19,@IvankaTrump,66
#COVID19,@MattHancock,65
#COVID19,@AndaluciaSinVOX,65
#COVID19,@jennycohn1,64
#COVID19,@SolomonYue,64
#COVID19,@DutytoInform,63
#COVID19,@20m,61
#COVID19,@JustinTrudeau,60
#COVID19,@gtconway3d,60
#COVID19,@Naveen_Odisha,60
#COVID19,@KhurramDehwar,60
#COVID19,@drmiguelmarcos,60
#COVID19,@JillMack30,58
#COVID19,@CMonteroOficial,55
#COVID19,@monaeltahawy,55
#COVID19,@ABSCBNNews,55
#COVID19,@daily_karabakh,55
#COVID19,@UN_News_Centre,54
#COVID19,@RafaelOsswald,53
#COVID19,@LindseyGrahamSC,52
#COVID19,@narendramodi,52
#COVID19,@leticiadeCuba,52
#COVID19,@DathosBD,51
#COVID19,@Rosie_wearamask,51
#COVID19,@docjosiahboone,50
#COVID19,@BlueTX2020,50
#COVID19,@naretevduorp,49
#COVID19,@PTI_News,49
#COVID19,@DrMartyFox,49
#COVID19,@DrPhillipsMD,49
#COVID19,@polizeiberlin,49
#COVID19,@PreislerKa,48
#COVID19,@pinabertoglia,48
#COVID19,@freitweeter,48
#COVID19,@EricTopol,48
#COVID19,@erzaehlmirnix,48
#COVID19,@donwinslow,48
#COVID19,@SpeakerPelosi,48
#COVID19,@carrerapulse,48
#COVID19,@JohnBasham,47
#COVID19,@danielyanda,46
#COVID19,@appledaily_hk,46
#COVID19,@vonderleyen,46
#COVID19,@DonaldJTrumpJr,46
#COVID19,@FAScientists,46
#COVID19,@kaltoons,45
#COVID19,@MBuhari,45
#COVID19,@JoeTalkShow,45
#COVID19,@PMOIndia,44
#COVID19,@steven_bruhh,44
#COVID19,@EduMinOfIndia,44
#COVID19,@RailroadUnderg1,43
#COVID19,@GovMurphy,43
#COVID19,@thehill,43
#COVID19,@DrRPNishank,43
#COVID19,@GlasnostGone,43
#COVID19,@leilasafarlee,42
#COVID19,@BallouxFrancois,42
#COVID19,@NathanStall,42
#COVID19,@DokterPodcast,41
#COVID19,@UN,41
#COVID19,@EUCouncil,41
#COVID19,@YEDNetworkKe,40
#COVID19,@AlessandraOdri,39
#COVID19,@SenMikeLee,39
#COVID19,@DeploraVille,39
#COVID19,@robjh1,39
#COVID19,@UNESCO,39
#COVID19,@ChrisCuomo,39
#COVID19,@Raelani_22,39
#COVID19,@GetWisdomDude,38
#COVID19,@OntarioNDP,38
#COVID19,@WSJ,38
#COVID19,@Twitter,38
#COVID19,@yourICM,38
#COVID19,@MichaelSteele,38
#COVID19,@fignon_laurent,37
#COVID19,@RegBerlin,37
#COVID19,@NikolovScience,37
#COVID19,@_SemaHernandez_,37
#COVID19,@Lovelyartistusa,36
#COVID19,@HPCL,36
#COVID19,@HotelLubyanka,36
#COVID19,@GobiernoMX,36
#COVID19,@CBSNews,36
#COVID19,@YouTube,36
#COVID19,@DietherAst,36
#COVID19,@GhenhisKhan,36
#COVID19,@ShamikaRavi,35
#COVID19,@JPLuisi1,35
#COVID19,@AA_SicherReisen,35
#COVID19,@LaurenPelley,35
#COVID19,@NYGovCuomo,35
