src,dst,count
#Allah_IsNot_Formless,#GodMorningMonday,153
#GodMorningMonday,#MondayMotivation,45
#GodMorningMonday,#MustListen_Satsang,27
#GodMorningMonday,#MondayThoughts,17
#GodMorningMonday,#mondaythoughts,7
#GodMorningMonday,#MondayVibes,3
#GodMorningMonday,#MondayMotivaton,1
#GodMorningMonday,#Navratri2020,1
#GodMorningMonday,#Navratri,1
#Allah_IsNot_Formless,#MondayMotivation,59
#MondayMotivation,#GodMorningMonday,45
#MondayMotivation,#mondaythoughts,35
#MondayMotivation,#MondayVibes,5
#MondayMotivation,#EndPoliceBrutalityinNigera,4
#MondayMotivation,#MondayThoughts,3
#MondayMotivation,#NaMoYugAgeOfIdeas,3
#MondayMotivation,#Navratri,2
#MondayMotivation,#Navratri2020,2
#MondayMotivation,#IPL2020,2
#MondayMotivation,#CBITraceSSRKillers,2
#MondayMotivation,#नवरात्रि,1
#MondayMotivation,#मराठी,1
#MondayMotivation,#GoodMorningTwitterWorld,1
#MondayMotivation,#KXIP,1
#MondayMotivation,#चंद्रघंटा,1
#MondayMotivation,#MustListen_Satsang,1
#MondayMotivation,#Allah,1
#MondayMotivation,#MIvsKXIP,1
#Allah_IsNot_Formless,#MustListen_Satsang,30
#MustListen_Satsang,#GodMorningMonday,27
#MustListen_Satsang,#TruthOfQuran_WatchDebate,2
#MustListen_Satsang,#KabirisGod,1
#MustListen_Satsang,#MondayMotivation,1
#MustListen_Satsang,#SaintRampalJiMaharaj,1
#MustListen_Satsang,#TrueGuru,1
#MustListen_Satsang,#MIvKXIP,1
#MustListen_Satsang,#MIvsKXIP,1
#Allah_IsNot_Formless,#mondaythoughts,19
#mondaythoughts,#MondayMotivation,35
#mondaythoughts,#GodMorningMonday,7
#mondaythoughts,#NaMoYugAgeOfIdeas,6
#mondaythoughts,#MIvKXIP,4
#mondaythoughts,#MondayVibes,4
#mondaythoughts,#MondayMotivaton,2
#mondaythoughts,#Navratri2020,2
#mondaythoughts,#Navratri,2
#mondaythoughts,#IPL2020,2
