src,dst,count
#Allah_IsNot_Formless,@SaintRampalJiM,632
@SaintRampalJiM,@vishnusahu000,62
@SaintRampalJiM,@DasiKamlesh870,60
@SaintRampalJiM,@Rani8448,48
@SaintRampalJiM,@Naveen57714360,26
@SaintRampalJiM,@VisheshDas11,23
@SaintRampalJiM,@PushpendraRoyal,22
@SaintRampalJiM,@Sakshi01083602,20
@SaintRampalJiM,@DivyaRa16412899,17
@SaintRampalJiM,@SatlokChannel,16
@SaintRampalJiM,@Rajkuma13138595,14
@SaintRampalJiM,@MonikaY59659058,13
@SaintRampalJiM,@LORDKABIR6,11
@SaintRampalJiM,@ShaktiS13564797,10
@SaintRampalJiM,@KrishandassSh12,10
@SaintRampalJiM,@BharatD55138223,7
@SaintRampalJiM,@NaveenK51586413,6
@SaintRampalJiM,@Poojaji_,3
#Allah_IsNot_Formless,@Official_Heena,136
#Allah_IsNot_Formless,@DivyaRa16412899,129
@DivyaRa16412899,@SaintRampalJiM,17
#Allah_IsNot_Formless,@Dinesh_Jat_,122
@Dinesh_Jat_,@SaintRampalJiM,1
#Allah_IsNot_Formless,@DasiKamlesh870,106
@DasiKamlesh870,@SaintRampalJiM,60
@DasiKamlesh870,@AmarBodhBook,1
@DasiKamlesh870,@SatlokChannel,1
#Allah_IsNot_Formless,@satkabir_,105
#Allah_IsNot_Formless,@Shalumehta95,91
#Allah_IsNot_Formless,@PushpendraRoyal,82
@PushpendraRoyal,@SaintRampalJiM,22
#Allah_IsNot_Formless,@SatlokAshram,81
@SatlokAshram,@SaintRampalJiM,1
@SatlokAshram,@SatlokChannel,1
#Allah_IsNot_Formless,@Earth_ToHeaven,78
@Earth_ToHeaven,@SaintRampalJiM,1
#Allah_IsNot_Formless,@ItbarPahal2,65
#Allah_IsNot_Formless,@OfficialSweeti,59
@OfficialSweeti,@SaintRampalJiM,2
#Allah_IsNot_Formless,@Sakshi01083602,52
@Sakshi01083602,@SaintRampalJiM,20
#Allah_IsNot_Formless,@MonikaY59659058,48
@MonikaY59659058,@SaintRampalJiM,13
@MonikaY59659058,@BharatD55138223,1
#Allah_IsNot_Formless,@Rani8448,47
@Rani8448,@SaintRampalJiM,48
#Allah_IsNot_Formless,@Kayu_kaju,45
#Allah_IsNot_Formless,@Gargi12289806,43
#Allah_IsNot_Formless,@BharatD55138223,41
@BharatD55138223,@SaintRampalJiM,7
@BharatD55138223,@MonikaY59659058,1
#Allah_IsNot_Formless,@Real_Jat_,41
#Allah_IsNot_Formless,@VisheshDas11,38
@VisheshDas11,@SaintRampalJiM,23
#Allah_IsNot_Formless,@Real__Om,37
#Allah_IsNot_Formless,@Abhishek5jntrm1,34
#Allah_IsNot_Formless,@kabirisGodLord,34
@kabirisGodLord,@SatlokChannel,1
#Allah_IsNot_Formless,@8539ramu,33
#Allah_IsNot_Formless,@AmarBodhBook,33
@AmarBodhBook,@DasiKamlesh870,1
#Allah_IsNot_Formless,@Naveen57714360,31
@Naveen57714360,@SaintRampalJiM,26
#Allah_IsNot_Formless,@Prakash10081962,31
#Allah_IsNot_Formless,@vishnusahu000,31
@vishnusahu000,@SaintRampalJiM,67
@vishnusahu000,@KrishandassSh12,1
#Allah_IsNot_Formless,@jodhpurL1,31
#Allah_IsNot_Formless,@Poojaji_,30
@Poojaji_,@SaintRampalJiM,4
#Allah_IsNot_Formless,@SatKabirDaya1,30
#Allah_IsNot_Formless,@abhishkJntrMnt,29
@abhishkJntrMnt,@SaintRampalJiM,2
#Allah_IsNot_Formless,@Agesh21500892,29
@Agesh21500892,@SaintRampalJiM,2
#Allah_IsNot_Formless,@PitaRampal,28
#Allah_IsNot_Formless,@Rajkuma13138595,28
@Rajkuma13138595,@SaintRampalJiM,17
#Allah_IsNot_Formless,@LORDKABIR6,28
@LORDKABIR6,@SaintRampalJiM,11
#Allah_IsNot_Formless,@Kishangurjarhi2,28
#Allah_IsNot_Formless,@Sonia74792168,27
#Allah_IsNot_Formless,@SatlokChannel,27
@SatlokChannel,@SaintRampalJiM,16
@SatlokChannel,@DasiKamlesh870,1
@SatlokChannel,@SatlokAshram,1
@SatlokChannel,@kabirisGodLord,1
#Allah_IsNot_Formless,@NaveenK51586413,27
@NaveenK51586413,@SaintRampalJiM,6
#Allah_IsNot_Formless,@Virende12,27
#Allah_IsNot_Formless,@Jaya00905,27
#Allah_IsNot_Formless,@kanchanad123,26
#Allah_IsNot_Formless,@ShaktiS13564797,26
@ShaktiS13564797,@SaintRampalJiM,10
#Allah_IsNot_Formless,@ANILDas35383167,26
#Allah_IsNot_Formless,@DSundar007,25
#Allah_IsNot_Formless,@Dayasha01944813,25
#Allah_IsNot_Formless,@_kush_yadav_,25
#Allah_IsNot_Formless,@thakur93091,25
#Allah_IsNot_Formless,@KrishandassSh12,24
@KrishandassSh12,@SaintRampalJiM,10
@KrishandassSh12,@vishnusahu000,1
