src,dst,count
$355989081,#COVID19,395
$355989081,#WATCH,36
#WATCH,#Hathras,2358
#WATCH,#COVID19,4
#WATCH,#IPL2020,3
$355989081,#Hathras,9
#Hathras,#WATCH,2358
$355989081,#IPL2020,6
$355989081,#Maharashtra,5
#Maharashtra,#COVID19,115
#Maharashtra,#Hathras,14
$355989081,#BiharElections,4
#BiharElections,#Bihar,638
#BiharElections,#BiharElections2020,167
#BiharElections,#BiharPolls,40
$355989081,#UPDATE,4
#UPDATE,#JammuAndKashmir,7
#UPDATE,#COVID19,6
$355989081,#DelhiCapitals,3
#DelhiCapitals,#IPL2020,2378
#DelhiCapitals,#RoyalChallengersBangalore,26
$355989081,#SushantSinghRajput,3
#SushantSinghRajput,#Hathras,323
$355989081,#RoyalChallengersBangalore,3
#RoyalChallengersBangalore,#IPL2020,87
#RoyalChallengersBangalore,#DelhiCapitals,26
$355989081,#JammuAndKashmir,2
#JammuAndKashmir,#UPDATE,7
$355989081,#WestBengal,2
#WestBengal,#Hathras,7
#WestBengal,#Bihar,7
$355989081,#SushantSingRajputDeathCase,2
#SushantSingRajputDeathCase,#SushantSinghRajput,33
$355989081,#NobelPrize,1
#NobelPrize,#COVID19,6
$355989081,#Navratri2020,1
$355989081,#MaharashtraRains,1
#MaharashtraRains,#Maharashtra,1
$355989081,#Odisha,1
#Odisha,#COVID19,563
$355989081,#Chhattisgarh,1
$355989081,#Karnataka,1
#Karnataka,#COVID19,23
#Karnataka,#Maharashtra,15
$355989081,#AtmaNirbharBharat,1
#AtmaNirbharBharat,#Navratri2020,2
$355989081,#Bihar,1
#Bihar,#BiharElections,618
#Bihar,#BiharElections2020,53
#Bihar,#COVID19,17
$355989081,#BiharElections2020,1
#BiharElections2020,#BiharElections,172
#BiharElections2020,#Bihar,40
#BiharElections2020,#BiharPolls,35
#BiharElections2020,#SushantSinghRajput,8
$355989081,#Myanmar,1
#Myanmar,#COVID19,12
$355989081,#BiharPolls,1
#BiharPolls,#BiharElections,40
#BiharPolls,#BiharElections2020,35
#BiharPolls,#Bihar,12
#BiharPolls,#SushantSinghRajput,2
$355989081,#SushantSinghRajputDeathCase,1
#SushantSinghRajputDeathCase,#SushantSinghRajput,53
