src,dst,count
#COVID19,#trumpgravedancer,346
#COVID19,#coronavirus,129
#COVID19,#BLM,59
#COVID19,#Turkish,52
#COVID19,#Infektionszahlen,41
#COVID19,#Corona,40
#COVID19,#Coronavirus,36
#COVID19,#mondaythoughts,33
#COVID19,#COVID,25
#COVID19,#COVIDIOTS,24
#COVID19,#Wisconsin,24
#COVID19,#Trump,22
#COVID19,#MentalHealth,22
#COVID19,#herdimmunity,21
#COVID19,#WearAMask,20
#COVID19,#TrumpVirus,19
#COVID19,#EndSARS,17
#COVID19,#mentalhealth,17
#COVID19,#VoteEarly,16
#COVID19,#StaySafe,16
#COVID19,#Election2020,15
#COVID19,#TrumpWantsToKillUsAll,14
#COVID19,#MondayMotivation,14
#COVID19,#MEK,14
#COVID19,#SARSCoV2,14
#COVID19,#SCOTUS,14
#COVID19,#pandemic,14
#COVID19,#lockdown,13
#COVID19,#Biden,13
#COVID19,#Florida,13
#COVID19,#Turkey,13
#COVID19,#Berlin,12
#COVID19,#BrexitShambles,11
#COVID19,#SuperSpreader,11
#COVID19,#COVIDー19,11
#COVID19,#Iran,11
#COVID19,#TRUMP2020ToSaveAmerica,11
#COVID19,#fraud,11
#COVID19,#Georgia,10
#COVID19,#NorthCarolina,10
#COVID19,#AI,10
#COVID19,#USPS,10
#COVID19,#Arizona,10
#COVID19,#MakeAmericaGreatAgain,10
#COVID19,#Dejoy,10
#COVID19,#WI,10
#COVID19,#Covid_19,10
#COVID19,#BidenHarris2020,10
#COVID19,#POTUS,10
#COVID19,#Texas,10
#COVID19,#Nigeria,9
#COVID19,#Technology,9
#COVID19,#VoteHimOut,9
#COVID19,#BREAKING,9
#COVID19,#virus,9
#COVID19,#corona,9
#COVID19,#MondayMorning,9
#COVID19,#News,8
#COVID19,#Kums,8
#COVID19,#DrFauci,8
#COVID19,#USA,8
#COVID19,#China,8
#COVID19,#FarmLaws,8
#COVID19,#CYBERTORTURE,8
#COVID19,#CyberSecurity,8
#COVID19,#FakeNews,8
#COVID19,#SoniaGandhi,8
#COVID19,#Trending,7
#COVID19,#बैंक,7
#COVID19,#NHS,7
#COVID19,#Lockdown,7
#COVID19,#घातक,7
#COVID19,#auspol,7
#COVID19,#love,7
#COVID19,#कर्मचारी,7
#COVID19,#coronamaatregelen,7
#COVID19,#SBI,7
#COVID19,#Parigi,7
#COVID19,#BlackLivesMatter,6
#COVID19,#Fraud,6
#COVID19,#VivaEspaña,6
#COVID19,#Schweiz,6
#COVID19,#coronaviruspandemic,6
#COVID19,#Love,6
#COVID19,#TrumpIsATerrorist,6
#COVID19,#anxiety,6
#COVID19,#जालसाजी,6
#COVID19,#GOP,6
#COVID19,#UK,6
#COVID19,#Vote,6
#COVID19,#Lockdown2,6
#COVID19,#ISDS,6
#COVID19,#theWHO,6
#COVID19,#VoteBidenHarris,6
#COVID19,#TrumpCrimeFamily,6
#COVID19,#CoronaVirus,6
#COVID19,#FDP,5
#COVID19,#US,5
#COVID19,#Coronakrise,5
#COVID19,#Coronakitas,5
#COVID19,#trendingTopic,5
#COVID19,#Iranian,5
#COVID19,#NCRI,5
#COVID19,#Grenzwert,5
#COVID19,#hayatadokun,5
#COVID19,#ClimateChange,5
#COVID19,#GobiernoSinAlma,5
#COVID19,#Tlaxiaco,5
#COVID19,#Kitakinder,5
#COVID19,#BidenHarris2020Landslide,5
#COVID19,#covid19pandemic,5
#COVID19,#Conte,5
#COVID19,#DonaldTrump,5
#COVID19,#Dpcm,5
#COVID19,#trendingnews,5
#COVID19,#MondayMood,5
#COVID19,#COVID__19,5
#COVID19,#परिवारो,5
#COVID19,#HOME,5
#COVID19,#Republicans,5
#COVID19,#मज़दूरी,5
#COVID19,#CoronaWillEndSoon,5
#COVID19,#बिल्डर,5
#COVID19,#बँधुआ,5
#COVID19,#India,5
#COVID19,#NCDs,5
#COVID19,#ilorinprotest,5
#COVID19,#MSME,5
