src,dst,count
(#EndSARS&#EndPoliceBrutalityinNigera),#EndSARS,898
(#EndSARS&#EndPoliceBrutalityinNigera),#EndPoliceBrutalityinNigera,457
(#EndSARS&#EndPoliceBrutalityinNigera),#EndSWAT,63
(#EndSARS&#EndPoliceBrutalityinNigera),#ENDBADGOVERNANCE,55
(#EndSARS&#EndPoliceBrutalityinNigera),#ilorinprotest,34
(#EndSARS&#EndPoliceBrutalityinNigera),#EndInsecurity,28
(#EndSARS&#EndPoliceBrutalityinNigera),#TREM,28
(#EndSARS&#EndPoliceBrutalityinNigera),#TOTWHU,26
(#EndSARS&#EndPoliceBrutalityinNigera),#EndBadGoveranceInNigeria,25
(#EndSARS&#EndPoliceBrutalityinNigera),#tradermoni,16
(#EndSARS&#EndPoliceBrutalityinNigera),#EndInsecurityInNigeria,15
(#EndSARS&#EndPoliceBrutalityinNigera),#EndBadGovernmentinNIGERIA,13
(#EndSARS&#EndPoliceBrutalityinNigera),#EndPoliceBrutality,12
(#EndSARS&#EndPoliceBrutalityinNigera),#EndSarsNow,12
(#EndSARS&#EndPoliceBrutalityinNigera),#HappeningNow,9
(#EndSARS&#EndPoliceBrutalityinNigera),#EndBadGovernanceinNIGERIA,5
(#EndSARS&#EndPoliceBrutalityinNigera),#EndSars,5
(#EndSARS&#EndPoliceBrutalityinNigera),#ENDswat,4
(#EndSARS&#EndPoliceBrutalityinNigera),#sorosoke,4
(#EndSARS&#EndPoliceBrutalityinNigera),#AbujaTwitterCommunity,3
(#EndSARS&#EndPoliceBrutalityinNigera),#BETTERNIGERIA,3
(#EndSARS&#EndPoliceBrutalityinNigera),#SecureNorth,3
(#EndSARS&#EndPoliceBrutalityinNigera),#SarsMustGo,3
(#EndSARS&#EndPoliceBrutalityinNigera),#BBCAfricaEye,3
(#EndSARS&#EndPoliceBrutalityinNigera),#endbadgovernance,3
(#EndSARS&#EndPoliceBrutalityinNigera),#ENDSARS,3
(#EndSARS&#EndPoliceBrutalityinNigera),#NoOne,3
(#EndSARS&#EndPoliceBrutalityinNigera),#RECONSTRUCTNIGERIA,3
(#EndSARS&#EndPoliceBrutalityinNigera),#AbujaProtest,2
(#EndSARS&#EndPoliceBrutalityinNigera),#falzthebahdguy,2
(#EndSARS&#EndPoliceBrutalityinNigera),#sorosoke247,2
