src,dst,count
#EndSARS,#StopNigeriaGovernment,24655
#EndSARS,#LekkiMassacre,22256
#EndSARS,#Genocide,17727
#EndSARS,#EndBadGoveranceInNigeria,12572
#EndSARS,#EndPoliceBrutalityinNigeraNOW,11691
#EndSARS,#Lekkitollgate,8662
#EndSARS,#Nigeria,6931
#EndSARS,#EndPoliceBrutality,6526
#EndSARS,#basedonwhat,4832
#EndSARS,#unarmed,4283
#EndSARS,#BuhariResignNow,4236
#EndSARS,#EndSARSImmediately,3221
#EndSARS,#LekkiGenocide,2923
#EndSARS,#CrimesAgainstHumanity,2906
#EndSARS,#LekkitollgateMassacre,2714
#EndSARS,#EndSarsNow,2630
#EndSARS,#EndPoliceBrutalityinNigera,2334
#EndSARS,#Lagos,2255
#EndSARS,#EndSWAT,1898
#EndSARS,#LekkiProtest,1807
#EndSARS,#EndPoliceBrutalityinNigeria,1553
#EndSARS,#EndImpunity,1529
#EndSARS,#ReformTheNigeriaPolice,1514
#EndSARS,#UnitedNations,1282
#EndSARS,#Lekki,1182
#EndSARS,#GenocideAtLekkiTollGate,1155
#EndSARS,#ReformPoliceNG,1117
#EndSARS,#UnitedNationsHelpNigeria,1074
#EndSARS,#BuhariMustGo,1069
#EndSARS,#ENDBADGOVERNANCE,1067
#EndSARS,#blacktuesday,1050
#EndSARS,#LekkiTollGateShooting,957
#EndSARS,#BuhariIsaMurderer,910
#EndSARS,#DjSwitch,909
#EndSARS,#LekkiMasacre,887
#EndSARS,#EndBadGovernanceinNIGERIA,881
#EndSARS,#buhariisamurderer,784
#EndSARS,#NIGERIABLEEDS,706
#EndSARS,#prayforNigeria,693
#EndSARS,#BuhariIsAMurderer,661
#EndSARS,#Prayfornigeria,653
#EndSARS,#BlackTuesdayNigeria,630
#EndSARS,#BlackTuesday,605
#EndSARS,#5for5,605
#EndSARS,#SalarioRosa,601
#EndSARS,#genocide,561
#EndSARS,#lekkimassacre,545
#EndSARS,#SARSMUSTEND,528
#EndSARS,#Lekkimassacre,482
#EndSARS,#LekkiTollGateMassacre,473
#EndSARS,#BuhariResign,402
#EndSARS,#JosEndSarsProtest,396
#EndSARS,#GenocideInNigeria,385
#EndSARS,#endswattraining,337
#EndSARS,#PeacefulProtest,335
#EndSARS,#BuhariHasBeenABadBoy,331
#EndSARS,#BBCAfricaEye,326
#EndSARS,#Anonymous,315
#EndSARS,#EndBadGovernmentinNIGERIA,294
#EndSARS,#SanwoMustGo,275
#EndSARS,#BuhariMustResign,257
#EndSARS,#ArmeniaKillsCivilians,253
#EndSARS,#sanwooluisamurderer,252
#EndSARS,#EndSars,244
#EndSARS,#NigerianLivesMatter,241
