src,dst,count
#ENDSARS,@Omojuwa,3176
#ENDSARS,@SaharaReporters,1164
#ENDSARS,@HQNigerianArmy,678
#ENDSARS,@shank_comics,539
#ENDSARS,@theskinpriest,350
#ENDSARS,@obichigwe,283
#ENDSARS,@elnathan_john,192
#ENDSARS,@tosinolaseinde,92
#ENDSARS,@pengmanmodel,79
#ENDSARS,@TheUwaniAliyu,60
#ENDSARS,@Ody_johnson,55
#ENDSARS,@akenny_o,45
#ENDSARS,@LeoKolade,44
#ENDSARS,@vanguardngrnews,44
#ENDSARS,@stevedyke4real,37
#ENDSARS,@iamrashwal,33
#ENDSARS,@Tobiafolabi_,27
#ENDSARS,@Nigerialawyers,24
#ENDSARS,@YeleSowore,20
#ENDSARS,@iykimo,17
#ENDSARS,@SDiaso,17
#ENDSARS,@NaijaInplay,15
#ENDSARS,@Rexmalcolm1,14
#ENDSARS,@Sonjoe_Kutuh,14
#ENDSARS,@ASIWAJUNMG,12
#ENDSARS,@MBuhari,12
#ENDSARS,@kinganikulapo,11
#ENDSARS,@mrfestusogun,11
#ENDSARS,@LaiMohammed1,8
#ENDSARS,@iamtoyinalade,7
#ENDSARS,@kosi_nnebe,6
#ENDSARS,@_9jaboyy,6
#ENDSARS,@gideondepianist,5
#ENDSARS,@nengioffiaI_,5
#ENDSARS,@__Nifemi_A,4
#ENDSARS,@DokunOjomo,4
#ENDSARS,@Necessary_Cho,4
#ENDSARS,@segalink,4
#ENDSARS,@MinzNSE,4
#ENDSARS,@raymond_alete,4
#ENDSARS,@Zennyharry,4
#ENDSARS,@feminist_co,3
#ENDSARS,@Maro_A,3
#ENDSARS,@Lifeoffeezyana,3
#ENDSARS,@enikuomehin,3
#ENDSARS,@Adeniyidavid,3
#ENDSARS,@TftKitchen,3
#ENDSARS,@manmustwack,3
#ENDSARS,@TarabaFacts,3
#ENDSARS,@PoliceNG,3
#ENDSARS,@EndSWAT6,2
#ENDSARS,@JanefrancesMal1,2
#ENDSARS,@YouTube,2
#ENDSARS,@BERGDORFBADMAN,2
#ENDSARS,@cuceejr,2
#ENDSARS,@DrOlufunmilayo,2
#ENDSARS,@jidesanwoolu,2
#ENDSARS,@mich__d_a,2
#ENDSARS,@Amarachiiokike,2
#ENDSARS,@Mrjemba,2
#ENDSARS,@ajibadguy,2
#ENDSARS,@Faith_Anny,2
#ENDSARS,@Favexine,2
#ENDSARS,@Oiza08,2
#ENDSARS,@EiENigeria,2
#ENDSARS,@keyrah__,2
#ENDSARS,@khoviy,2
#ENDSARS,@sherane__,2
#ENDSARS,@jimmysenpaii,2
#ENDSARS,@KING_x_AUSTIN,2
#ENDSARS,@AmethystDigits,2
#ENDSARS,@fkabudu,2
#ENDSARS,@tundeajibulu,2
#ENDSARS,@MayorKingz,2
#ENDSARS,@KevinHart4real,2
#ENDSARS,@mayor1012003,1
#ENDSARS,@MichaelAnyanwu2,1
#ENDSARS,@LiteMods,1
#ENDSARS,@MustechT,1
#ENDSARS,@McBuchino,1
#ENDSARS,@elijahjohn33,1
#ENDSARS,@zenzen22,1
#ENDSARS,@yousaseef6435,1
#ENDSARS,@addthis,1
#ENDSARS,@OoTheNigerian,1
#ENDSARS,@CashMkt2016,1
#ENDSARS,@toluogunlesi,1
#ENDSARS,@AlhajiLit,1
#ENDSARS,@MrOdanz,1
#ENDSARS,@WillieMObiano,1
#ENDSARS,@TheAdebusola,1
#ENDSARS,@PeterObi,1
#ENDSARS,@akollyboy,1
#ENDSARS,@bukola23,1
#ENDSARS,@Oine__,1
#ENDSARS,@Irunnia_,1
#ENDSARS,@ivoiceit,1
#ENDSARS,@TheDezIyare,1
#ENDSARS,@MrMaccaronll,1
#ENDSARS,@greatmedy,1
#ENDSARS,@ThePrecious_Chi,1
#ENDSARS,@Adebayor4811,1
#ENDSARS,@ZeeROGBA,1
#ENDSARS,@APCUKingdom,1
#ENDSARS,@anonymous,1
#ENDSARS,@femigbaja,1
#ENDSARS,@kusssman,1
#ENDSARS,@Kayode__ani,1
#ENDSARS,@nemerem,1
#ENDSARS,@moyok_,1
#ENDSARS,@instablog9ja,1
#ENDSARS,@toyosigeorgeoba,1
#ENDSARS,@APCNigeria,1
#ENDSARS,@iceylamar,1
#ENDSARS,@alhajitekno,1
#ENDSARS,@Bollylee_,1
#ENDSARS,@Nifade_,1
#ENDSARS,@SalomeAries,1
#ENDSARS,@KelvinOkey1,1
#ENDSARS,@WizardOfFootbal,1
#ENDSARS,@ifelooksorange,1
#ENDSARS,@Mzlobera,1
#ENDSARS,@newsunplug,1
#ENDSARS,@splendourondmic,1
#ENDSARS,@yawazobiafm,1
#ENDSARS,@Aerial_sam_,1
#ENDSARS,@AjalaSosman,1
#ENDSARS,@DeeOneAyekooto,1
#ENDSARS,@DoraMark8,1
#ENDSARS,@Fattcheeked,1
#ENDSARS,@GbemiDennis,1
#ENDSARS,@Incredible_mimi,1
#ENDSARS,@JJ_DPM,1
#ENDSARS,@Mochievous,1
#ENDSARS,@MrOnos147,1
#ENDSARS,@OgbeniDipo,1
#ENDSARS,@joshnekoff,1
#ENDSARS,@Prof_DerrickSam,1
#ENDSARS,@SuleimanGinika,1
#ENDSARS,@Therealqb4,1
#ENDSARS,@Twire10,1
#ENDSARS,@adenle_oseun,1
#ENDSARS,@aishambuhari,1
#ENDSARS,@aproko_doctor,1
#ENDSARS,@atargulgt,1
#ENDSARS,@ayemojubar,1
#ENDSARS,@nobsavvy,1
#ENDSARS,@oluchristty,1
#ENDSARS,@realFFK,1
#ENDSARS,@sipcodeine1,1
#ENDSARS,@sureboynazz_,1
#ENDSARS,@kene_agwu,1
#ENDSARS,@channelstv,1
#ENDSARS,@theforeheader,1
#ENDSARS,@Wonderfullycre1,1
#ENDSARS,@Ambrosia_Ijebu,1
#ENDSARS,@Benking452,1
#ENDSARS,@CNN,1
#ENDSARS,@Chike____,1
#ENDSARS,@DStvNg,1
#ENDSARS,@Disney,1
#ENDSARS,@Iam_Andrea07,1
#ENDSARS,@KemiOlunloyo,1
#ENDSARS,@Maxfrank091,1
#ENDSARS,@Mztiifaah,1
#ENDSARS,@RealShodayo_,1
#ENDSARS,@Vizzy_rayven,1
#ENDSARS,@theprincelyx,1
#ENDSARS,@adebare4love,1
#ENDSARS,@abifola_abraham,1
#ENDSARS,@brfootball,1
#ENDSARS,@falzthebahdguy,1
#ENDSARS,@horlarwalebanks,1
#ENDSARS,@mikel_lisconja,1
#ENDSARS,@mr_grema,1
#ENDSARS,@naijanewsfeeder,1
#ENDSARS,@official2baba,1
#ENDSARS,@thesignalng,1
#ENDSARS,@toluwalase_akin,1
#ENDSARS,@BlueThroat101,1
#ENDSARS,@CACCOT1,1
#ENDSARS,@GazetteNGR,1
#ENDSARS,@ViengeOfficial,1
#ENDSARS,@YarKafanchan,1
#ENDSARS,@ChiefOjukwu,1
