src,dst,count
#Genocide,#EndSARS,14210
#Genocide,#EndPoliceBrutalityinNigeraNOW,8905
#Genocide,#unarmed,5198
#Genocide,#basedonwhat,5008
#Genocide,#BuhariResignNow,3948
#Genocide,#blacktuesday,3721
#Genocide,#EndBadGoveranceInNigeria,3710
#Genocide,#LekkiMassacre,3476
#Genocide,#Lekkitollgate,2841
#Genocide,#LekkiProtest,2436
#Genocide,#GenocideAtLekkiTollGate,2156
#Genocide,#Lekki,1463
#Genocide,#BlackLivesMatter,1130
#Genocide,#Blacktuesday,1120
#Genocide,#Prayfornigeria,793
#Genocide,#BlackTuesday,789
#Genocide,#EndPoliceBrutalityinNigera,780
#Genocide,#endsars,689
#Genocide,#LekkitollgateMassacre,513
#Genocide,#buhariisamurderer,477
#Genocide,#lekki,435
#Genocide,#GenocideInNigeria,336
#Genocide,#ENDBADGOVERNANCE,327
#Genocide,#PeacefulProtest,327
#Genocide,#StopNigeriaGovernment,325
#Genocide,#DjSwitch,300
#Genocide,#EndSARSImmediately,276
#Genocide,#Nigeria,267
#Genocide,#TinubuIsAKiller,264
#Genocide,#BuhariMustGo,260
#Genocide,#ENDSARS,253
#Genocide,#Unarmed,233
#Genocide,#alusa,228
#Genocide,#Endsars,219
#Genocide,#BuhariIsaMurderer,211
#Genocide,#sanwooluisamurderer,200
#Genocide,#EndSars,183
#Genocide,#EndPoliceBrutality,162
#Genocide,#ApcFailedSystem,158
#Genocide,#NIGERIABLEEDS,153
#Genocide,#therewasacountry,146
#Genocide,#genocide,139
#Genocide,#Djswitch,134
#Genocide,#ArmeniaKillsCivilians,130
#Genocide,#UnitedNationsHelp,127
#Genocide,#Endbadgovernance,115
#Genocide,#prayforNigeria,111
#Genocide,#EndSWAT,110
#Genocide,#FoxNews,109
#Genocide,#BuhariResign,98
#Genocide,#EndPoliceBrutalityinNigeria,97
#Genocide,#Murderers,96
#Genocide,#CNN,95
#Genocide,#PrayforNigeria,94
#Genocide,#sanwoolu,83
#Genocide,#bbcnews,82
#Genocide,#UnitedNations,80
#Genocide,#EndSarsNow,80
#Genocide,#UN,72
#Genocide,#cnnbrk,70
#Genocide,#foxtv,70
#Genocide,#ABCNews,70
#Genocide,#Endpolicebrutality,66
#Genocide,#SideWithNigeria,66
#Genocide,#BlackOctober,64
#Genocide,#LekkiTollGateProtest,57
#Genocide,#LekkiTollGateMassacre,57
#Genocide,#lekkimassacre,54
#Genocide,#LekkiGenocide,53
#Genocide,#StopKillingUs,53
#Genocide,#LekkiMasacre,50
#Genocide,#JosEndSarsProtest,50
#Genocide,#BuhariMustResign,50
#Genocide,#genocideinlekkinigeria,49
#Genocide,#NigeriaIsBleeding,48
#Genocide,#RECONSTRUCTNIGERIA,47
#Genocide,#EndBadGovernanceinNIGERIA,44
#Genocide,#BuhariHasBeenABadBoy,43
#Genocide,#LekkiTollGateShooting,43
#Genocide,#SARSMUSTEND,41
#Genocide,#LagosProtest,40
#Genocide,#SarsMustGoNow,40
#Genocide,#NYTimes,40
#Genocide,#ESPNplus,40
#Genocide,#EndPoliceBrutalityInNigeria,39
#Genocide,#FOX17Erik,38
#Genocide,#genocideinNigeria,38
#Genocide,#PeacefulProtesters,38
#Genocide,#EndPoliceBrutalityinNigeriaNOW,36
#Genocide,#Basedonwhat,36
#Genocide,#THEREWASACOUNTRY,34
#Genocide,#CCTV,34
#Genocide,#EndTheProtest,31
#Genocide,#SARSMUSTENDNOW,31
#Genocide,#GenocideinNigeria,30
#Genocide,#5for5,30
#Genocide,#sorosokenodeydisguise,30
#Genocide,#ReformTheNigeriaPolice,30
#Genocide,#SoroSokeGeneration,30
#Genocide,#PSGMUN,29
#Genocide,#CrimesAgainstHumanity,28
#Genocide,#EndSWATNow,27
#Genocide,#buharimustgo,24
#Genocide,#DJSwitch,24
#Genocide,#TinubuIsAMurderer,23
#Genocide,#ReformNigeria,23
#Genocide,#PrayForNigeria,23
#Genocide,#sorosoke247,22
#Genocide,#LekkiTollGate,22
#Genocide,#Tinubu,21
#Genocide,#NigeriaYouthsLiveMatter,19
#Genocide,#FailedNigerianGovernment,19
#Genocide,#RevolutionNow,18
#Genocide,#tollgate,18
#Genocide,#ArrestKillerOfficers,18
#Genocide,#djswitch,18
#Genocide,#BadgovernmentinNigeria,18
#Genocide,#massacre,17
#Genocide,#EndPoliceBrutalityInNigeriaNow,17
