src,dst,count
#COVID19,@DrEricDing,465
#COVID19,@MeidasTouch,346
#COVID19,@PeterHotez,131
#COVID19,@realDonaldTrump,67
#COVID19,@ChrisMurphyCT,62
#COVID19,@NachoSAmor,52
#COVID19,@Fischblog,40
#COVID19,@RNBreakfast,37
#COVID19,@Wendy_Bacon,35
#COVID19,@senrobportman,32
#COVID19,@HNadim87,26
#COVID19,@MeanwhileinCana,24
#COVID19,@DrZweliMkhize,22
#COVID19,@_pietz_,21
#COVID19,@TheLancet,19
#COVID19,@SusanSchutte2,19
#COVID19,@GOP,18
#COVID19,@juancarlossaid,17
#COVID19,@JoeBiden,17
#COVID19,@MEK_Iran,17
#COVID19,@POTUS,15
#COVID19,@TeamTrump,15
#COVID19,@SSalud_mx,14
#COVID19,@WHO,13
#COVID19,@TheTrumpReaper,13
#COVID19,@GOPChairwoman,13
#COVID19,@B52Malmet,13
#COVID19,@XHNews,12
#COVID19,@Mike_Pence,12
#COVID19,@asamcarabanchel,11
#COVID19,@htTweets,11
#COVID19,@RestoreHope_20,11
#COVID19,@Raul_Alguacil,10
#COVID19,@HunterJCullen,10
#COVID19,@MaryPatFlynn1,10
#COVID19,@ashtonpittman,10
#COVID19,@TomJChicago,10
#COVID19,@SteveFDA,9
#COVID19,@rcp_1964,9
#COVID19,@earthnamek,9
#COVID19,@SenateGOP,9
#COVID19,@HouseGOP,9
#COVID19,@ThuliMadonsela3,8
#COVID19,@albertheijn,8
#COVID19,@gallerygrandeur,8
#COVID19,@dabeard,8
#COVID19,@PSP,8
#COVID19,@MsNemah,7
#COVID19,@WordswithSteph,7
#COVID19,@WhiteHouse,7
#COVID19,@lauralruiz,7
#COVID19,@US_FDA,6
#COVID19,@ANI,6
#COVID19,@AlonsoSybel,6
#COVID19,@UteSchlieper,6
#COVID19,@pia_eberhardt,6
#COVID19,@4FreedominIran,6
#COVID19,@DocSchmadia,6
#COVID19,@keepnhspublic,6
#COVID19,@Telegraph,6
#COVID19,@alexbardi22,6
#COVID19,@killian_hurley,6
#COVID19,@monaeltahawy,6
#COVID19,@SallyDeal4,6
#COVID19,@themaxburns,6
#COVID19,@LuisCardenasMx,6
#COVID19,@sofyvaldivia,5
#COVID19,@marklevinshow,5
#COVID19,@OKE_Raphaela,5
#COVID19,@MattHancock,5
#COVID19,@msumcmalaysia,5
#COVID19,@01Cole,5
#COVID19,@jmaryli,5
#COVID19,@luchaalmada,5
#COVID19,@saeednamaki,5
#COVID19,@TrumpWarRoom,5
#COVID19,@DineshDSouza,4
#COVID19,@SaludPublicaEs,4
#COVID19,@mannar_mannan,4
