src,dst,count
#EndSARS,@adekunleGOLD,15181
#EndSARS,@thecableng,11216
#EndSARS,@NOIweala,10417
#EndSARS,@renoomokri,7874
#EndSARS,@BBCAfrica,7607
#EndSARS,@OgbeniDipo,7529
#EndSARS,@is_salsu,7294
#EndSARS,@VillageParrot,6590
#EndSARS,@Bisolaaa,6517
#EndSARS,@jidesanwoolu,6314
#EndSARS,@K1Says,6135
#EndSARS,@adetolaov,6061
#EndSARS,@AyoJaguda,4833
#EndSARS,@ighotasha,4697
#EndSARS,@MBuhari,4426
#EndSARS,@royzkingin,4327
#EndSARS,@YarKafanchan,3818
#EndSARS,@TheImoh,3457
#EndSARS,@PoliceNG,2906
#EndSARS,@TopeAkinyode,2692
#EndSARS,@realFFK,2664
#EndSARS,@_Taaooma,2623
#EndSARS,@Debola_A,2586
#EndSARS,@okolizmaine,2328
#EndSARS,@ayemojubar,1908
#EndSARS,@DarkAlin_,1741
#EndSARS,@YeleSowore,1608
#EndSARS,@ayosogunro,1398
#EndSARS,@Aisha_yesuf,1350
#EndSARS,@UchePOkoye,1340
#EndSARS,@feminist_co,1320
#EndSARS,@MobilePunch,1309
#EndSARS,@DrOlufunmilayo,1291
#EndSARS,@channelstv,1284
#EndSARS,@AishaYesufu,1261
#EndSARS,@SavvyRinu,1211
#EndSARS,@henryshield,1132
#EndSARS,@FshawKingFisher,998
#EndSARS,@itsTomiwa,989
#EndSARS,@fisayosoyombo,921
#EndSARS,@ArewaTwiter,909
#EndSARS,@segalink,905
#EndSARS,@timiakegbejo,851
#EndSARS,@davvydmoore,815
#EndSARS,@DavidOyedepoMin,796
#EndSARS,@Dehkunle,773
#EndSARS,@EiENigeria,772
#EndSARS,@alhajitekno,741
#EndSARS,@Telegraph,739
#EndSARS,@faitheepony,710
#EndSARS,@Omah_Lay,709
#EndSARS,@PoojaMedia,700
#EndSARS,@SMiTHiE___,694
#EndSARS,@Naija_PR,674
#EndSARS,@uchejombo,672
#EndSARS,@SaharaReporters,666
#EndSARS,@amaliakalu,626
#EndSARS,@Bulamacartoons,593
#EndSARS,@NigeriaMourns,554
#EndSARS,@Ebuka,528
#EndSARS,@HenshawKate,518
#EndSARS,@OloriSupergal,512
#EndSARS,@therealdaddymo1,504
#EndSARS,@bulamabukarti,468
#EndSARS,@ozzyetomi,466
#EndSARS,@obyezeks,464
#EndSARS,@instablog9ja,456
#EndSARS,@Biisi96,450
#EndSARS,@Mochievous,447
#EndSARS,@onIineprotester,447
#EndSARS,@adeyanjudeji,437
#EndSARS,@Olubusayo__,436
#EndSARS,@MoghaluKingsley,436
#EndSARS,@thatMrT,408
#EndSARS,@royaltyuso,404
#EndSARS,@VectorThaViper,392
#EndSARS,@frankdonga_,391
#EndSARS,@Tomike_A,389
#EndSARS,@OfficialYDP_NG,371
#EndSARS,@erigganewmoney,359
#EndSARS,@unproblematicJ,358
#EndSARS,@GbemiDennis,357
#EndSARS,@DJSPINALL,355
#EndSARS,@fkabudu,353
#EndSARS,@UN,353
#EndSARS,@vanguardngrnews,341
#EndSARS,@BorisJohnson,340
#EndSARS,@maxneto1,339
#EndSARS,@_SirWilliam_,336
#EndSARS,@_Oroboghene,334
#EndSARS,@yemialadee,330
#EndSARS,@shank_comics,327
#EndSARS,@VictorIsrael_,327
#EndSARS,@benmurraybruce,325
#EndSARS,@IamSnazz,324
#EndSARS,@YourAnonCentral,311
#EndSARS,@betty_nwabunike,309
#EndSARS,@HQNigerianArmy,302
#EndSARS,@Peruzzi,302
#EndSARS,@Entre_Adam,298
#EndSARS,@Ambrosia_Ijebu,296
#EndSARS,@kikimordi,291
#EndSARS,@JajaPhD,291
#EndSARS,@cindy_blog,280
#EndSARS,@Princemudi_,279
#EndSARS,@TheBlackHermit,278
#EndSARS,@AmnestyNigeria,270
#EndSARS,@UzzyOkeke,268
#EndSARS,@CNN,260
#EndSARS,@ProfOsinbajo,259
#EndSARS,@realFirstDoctor,255
#EndSARS,@JoeyAkan,252
#EndSARS,@GboyegaOyetola,249
#EndSARS,@falzthebahdguy,245
#EndSARS,@PremiumTimesng,243
#EndSARS,@TheLotaChukwu,241
#EndSARS,@Gidi_Traffic,238
#EndSARS,@AJEnglish,232
#EndSARS,@heyyberv,224
#EndSARS,@Symply_Tacha,213
#EndSARS,@larrymccoy2,208
#EndSARS,@itsFirstDoctor,208
#EndSARS,@LoisUmunna,208
#EndSARS,@ikhide,202
#EndSARS,@blvk6god,202
#EndSARS,@davido,195
#EndSARS,@AkpraiseMedia,195
#EndSARS,@eatbernadines,190
#EndSARS,@Duke_CBE,189
#EndSARS,@SERAPNigeria,188
#EndSARS,@taiwo_aji,184
#EndSARS,@OfficialUdiBoy,182
#EndSARS,@nigeriasbest,177
#EndSARS,@PreciousKayode3,175
#EndSARS,@9jastudios,174
#EndSARS,@UcheKalu_,172
#EndSARS,@Gbemileke__,170
#EndSARS,@DrAhmadLawan,169
#EndSARS,@NigeriaNewsdesk,169
#EndSARS,@TheDreamjunkie_,168
#EndSARS,@SpecialSlim,164
#EndSARS,@savndaniel,161
#EndSARS,@mrmacaronii,159
#EndSARS,@o_kanyy,158
#EndSARS,@rihanat_sona,158
#EndSARS,@jacksonpbn,157
#EndSARS,@oyimzy,155
#EndSARS,@SAMKLEF,153
#EndSARS,@aproko_doctor,153
#EndSARS,@BBCWorld,146
#EndSARS,@LordVino,146
#EndSARS,@femigbaja,144
#EndSARS,@cnnbrk,143
#EndSARS,@TheNationNews,142
#EndSARS,@Olawoyin4u,142
#EndSARS,@BashirAhmaad,141
#EndSARS,@_BHENJI,141
#EndSARS,@Adxpillar,139
#EndSARS,@GbemmyG,137
#EndSARS,@Boltapp_ng,136
#EndSARS,@_OfficialAkon,136
#EndSARS,@chizom_,135
#EndSARS,@TomyyO_,135
#EndSARS,@Adebayo_Ralph,134
#EndSARS,@olakunle_hk,133
#EndSARS,@peekaymila,129
#EndSARS,@InsideOsogbo,128
#EndSARS,@von_Bismack,128
#EndSARS,@iam_debolex,125
#EndSARS,@zeezish_,125
#EndSARS,@wizkidayo,124
#EndSARS,@beyabbe,122
#EndSARS,@ebelee_,121
#EndSARS,@DuchessT_,121
#EndSARS,@UncleBelieveAll,121
#EndSARS,@CNNAfrica,120
#EndSARS,@ogundamisi,120
#EndSARS,@TheICIR,120
#EndSARS,@reginaldaziza,119
#EndSARS,@Apex_Zy,119
#EndSARS,@1jubril,118
#EndSARS,@HAHayatu,117
#EndSARS,@crazeclown,115
#EndSARS,@Oyindamolar,115
#EndSARS,@YemieFASH,113
#EndSARS,@UncleSmish,110
#EndSARS,@kunle_pata,110
#EndSARS,@Great_Oyin7,110
#EndSARS,@cnni,109
#EndSARS,@Tutsy22,108
#EndSARS,@unuode,106
#EndSARS,@TheOladeile,106
#EndSARS,@iam_doctormayor,104
#EndSARS,@Murtalaibin,104
#EndSARS,@Sisi_Yemmie,103
#EndSARS,@politics_nig,102
#EndSARS,@FoxNews,102
#EndSARS,@__olayinka,101
#EndSARS,@vincentdesmond_,101
#EndSARS,@ajeromorgan,101
#EndSARS,@Iam_Timon1,101
#EndSARS,@nigeriantribune,100
#EndSARS,@edmmobi,100
