src,dst,count
#EndSARS,$1311348641114849287,126
#EndSARS,$16818248,65
#EndSARS,$166270118,63
#EndSARS,$1114140599735734272,62
#EndSARS,$73107590,62
#EndSARS,$190002578,60
#EndSARS,$4249444281,59
#EndSARS,$1316300103586508800,58
#EndSARS,$776415557511897089,56
#EndSARS,$626891868,56
#EndSARS,$1184461285926297602,53
#EndSARS,$60510865,48
#EndSARS,$900091603238477825,48
#EndSARS,$562473819,47
#EndSARS,$1292066969722789891,44
#EndSARS,$1196874000837816320,37
#EndSARS,$700669082,37
#EndSARS,$732754842427494402,36
#EndSARS,$1216656308306354176,36
#EndSARS,$338704827,35
#EndSARS,$1125141107443142656,34
#EndSARS,$3429091433,33
#EndSARS,$2575479369,33
#EndSARS,$4785049815,32
#EndSARS,$894591877428760576,32
#EndSARS,$415903873,32
#EndSARS,$213583248,30
#EndSARS,$981444379,30
#EndSARS,$58083820,30
#EndSARS,$904923182032879620,30
#EndSARS,$1015520183031599104,30
#EndSARS,$1045190076,29
#EndSARS,$1169170092267118592,29
#EndSARS,$725601997655789568,29
#EndSARS,$281681326,29
#EndSARS,$1202489285284442112,28
#EndSARS,$1207030581000884234,28
#EndSARS,$187132594,28
#EndSARS,$4720861861,28
#EndSARS,$1272938759416434688,28
#EndSARS,$1138097413393190913,28
#EndSARS,$1316339057371369473,28
#EndSARS,$375512859,26
#EndSARS,$1177209792689053697,26
#EndSARS,$349913600,26
#EndSARS,$761215052384968704,25
#EndSARS,$1264893223471927300,25
#EndSARS,$2200233970,25
#EndSARS,$2733521487,25
#EndSARS,$1903393394,24
#EndSARS,$82659078,24
#EndSARS,$767779110861012992,24
#EndSARS,$225901702,24
#EndSARS,$409084544,24
#EndSARS,$1021309870044217344,24
#EndSARS,$3060782457,23
#EndSARS,$791218957248323584,23
#EndSARS,$787787466577149952,23
#EndSARS,$1209599482817654791,23
#EndSARS,$1182308996591620096,22
#EndSARS,$1037561930016350208,22
#EndSARS,$75074529,22
#EndSARS,$1272046023532253185,22
#EndSARS,$817600178358222849,22
#EndSARS,$497706045,22
#EndSARS,$794212912135077891,22
#EndSARS,$1277954772126117889,22
#EndSARS,$1263475377466466305,21
#EndSARS,$741156951111966720,21
#EndSARS,$720527531,21
#EndSARS,$1266315979,21
#EndSARS,$1248240784513609729,21
#EndSARS,$1265455946442117120,21
#EndSARS,$3918896613,21
#EndSARS,$365447684,20
#EndSARS,$444466055,20
#EndSARS,$1248913237,20
#EndSARS,$1046338063205642242,20
#EndSARS,$807864978,20
#EndSARS,$1200457322423828481,20
#EndSARS,$578395701,20
#EndSARS,$1291833035101474821,20
#EndSARS,$869431558696050688,20
#EndSARS,$549205947,19
#EndSARS,$359491235,19
#EndSARS,$868977323063869440,19
#EndSARS,$1192955523563429888,19
#EndSARS,$919822800206159872,19
#EndSARS,$285222132,18
#EndSARS,$789860000944558080,18
#EndSARS,$1316131463096655875,18
#EndSARS,$1111346630224199686,18
#EndSARS,$1145337132866777089,18
#EndSARS,$216303871,18
#EndSARS,$1263472911362527233,18
#EndSARS,$892485323242037248,18
#EndSARS,$132859867,18
#EndSARS,$4172540769,18
#EndSARS,$1183758699220885506,18
#EndSARS,$902629134454677511,18
#EndSARS,$532606590,18
#EndSARS,$41842614,18
#EndSARS,$615560756,18
#EndSARS,$745158919,18
#EndSARS,$1110837236017311744,17
#EndSARS,$1314739907814977536,17
#EndSARS,$4841772922,17
#EndSARS,$1184191728418467840,17
#EndSARS,$502083064,17
#EndSARS,$1546593985,17
#EndSARS,$570549817,17
#EndSARS,$190638233,17
#EndSARS,$90362421,17
#EndSARS,$762029682669805568,17
#EndSARS,$1290395246380097536,16
#EndSARS,$899355482128871424,16
#EndSARS,$2862403161,16
#EndSARS,$405906372,16
#EndSARS,$874409630,16
#EndSARS,$205918608,16
#EndSARS,$698757997821091840,16
#EndSARS,$798254581255913472,16
#EndSARS,$486571730,16
#EndSARS,$3739797515,16
#EndSARS,$204327636,16
#EndSARS,$1314638771846107138,16
#EndSARS,$1277578886524604419,16
#EndSARS,$381790208,16
#EndSARS,$206751446,16
#EndSARS,$4127655742,16
#EndSARS,$452966547,16
#EndSARS,$449607862,16
#EndSARS,$1645458043,16
#EndSARS,$1966848650,16
#EndSARS,$305043738,16
#EndSARS,$1846925299,16
#EndSARS,$1251736125770792960,16
#EndSARS,$260382297,16
#EndSARS,$1207312476095860741,16
#EndSARS,$4328988315,16
#EndSARS,$3379489933,15
#EndSARS,$1317105047499669507,15
#EndSARS,$1064232209710764035,15
#EndSARS,$1088112698137739265,15
#EndSARS,$959327063340699649,15
#EndSARS,$268464642,15
#EndSARS,$1169858421174091777,15
#EndSARS,$2785188940,15
#EndSARS,$459706079,15
#EndSARS,$1119355397788372992,15
#EndSARS,$1368048404,15
#EndSARS,$908836718043963392,15
#EndSARS,$1203299186642444303,15
#EndSARS,$3315584373,15
#EndSARS,$2946651220,15
#EndSARS,$132202636,15
#EndSARS,$887305675671556096,15
#EndSARS,$57152134,15
#EndSARS,$1257025550725627906,15
#EndSARS,$2287745529,15
#EndSARS,$1304155664806301696,15
#EndSARS,$999682240299880448,15
#EndSARS,$43538660,15
