src,dst,count
#SARAMUSTEND,#SarsMustGoNow,24
#SARAMUSTEND,#SARSMUSTENDNOW,14
#SARAMUSTEND,#EndPoliceBrutalityinNigeria,5
#SARAMUSTEND,#EndPoliceBrutality,5
#SARAMUSTEND,#BayelsaEndPoliceBrutality,2
#SARAMUSTEND,#ReformThePoliceNG,2
#SARAMUSTEND,#IGPmustGo,1
#SARAMUSTEND,#SARMUSTEND,1
#SARAMUSTEND,#EndNorthBanditry,1
#SARAMUSTEND,#IfeProtest,1
#SARAMUSTEND,#5for5,1
#SARAMUSTEND,#EndSARS,1
#SARAMUSTEND,#EndSarsNow,1
#SARAMUSTEND,#UyoProtests,1
#SARAMUSTEND,#UyoProtest,1
#SARAMUSTEND,#EndAsuuStrikeNow,1
#SARAMUSTEND,#EndPoliceBrutalityInNigeriaNow,1
#SARAMUSTEND,#BuhariHasBeenABadBoy,1
