src,dst,count
#TheFemaleArtist,@taylorswift13,437
#TheFemaleArtist,@ArianaGrande,134
#TheFemaleArtist,@augustwhore13,80
#TheFemaleArtist,@noitsbettty,77
#TheFemaleArtist,@PlNKFlLTER,44
#TheFemaleArtist,@YSTanSwift,38
#TheFemaleArtist,@taylorgains13,29
#TheFemaleArtist,@TaylorARSource1,27
#TheFemaleArtist,@Votingnation13,25
#TheFemaleArtist,@MissingLuci,23
#TheFemaleArtist,@onlyorbiit,23
#TheFemaleArtist,@ArianaVoteStats,21
#TheFemaleArtist,@denymoonlight,15
#TheFemaleArtist,@lillyswiftt13,15
#TheFemaleArtist,@iambuterastann,13
#TheFemaleArtist,@narryvhugs,12
#TheFemaleArtist,@blueefortay,12
#TheFemaleArtist,@1MyPrerogative,12
#TheFemaleArtist,@TSwiftNewsLA,10
#TheFemaleArtist,@breakablerep,10
#TheFemaleArtist,@raindropskth,10
#TheFemaleArtist,@AndyanmO,10
#TheFemaleArtist,@SwiftRadio13,9
#TheFemaleArtist,@chartsontaylor,9
#TheFemaleArtist,@darkyonce92_,9
#TheFemaleArtist,@Delicateswift89,9
#TheFemaleArtist,@blinding1989,8
#TheFemaleArtist,@larrysfolklore,8
#TheFemaleArtist,@seokjinsrem,8
#TheFemaleArtist,@wildestscreamz,8
#TheFemaleArtist,@JulieAfterglow_,8
#TheFemaleArtist,@JoyceReyes1052,8
#TheFemaleArtist,@Adoor_tay,8
#TheFemaleArtist,@TayIorVoteStats,7
#TheFemaleArtist,@YourDearLover13,7
#TheFemaleArtist,@melodramaswift1,7
#TheFemaleArtist,@godsbloodline,7
#TheFemaleArtist,@lookathowmy,7
#TheFemaleArtist,@kuebikoExulansi,7
#TheFemaleArtist,@ieeoxx,6
#TheFemaleArtist,@folkloretour13,6
#TheFemaleArtist,@aylin07746808,6
#TheFemaleArtist,@blindingrep,6
#TheFemaleArtist,@icanbeneedyAG,6
#TheFemaleArtist,@aarchivesgrande,6
#TheFemaleArtist,@GNtltcstan,5
#TheFemaleArtist,@cupcakeswiffer,5
#TheFemaleArtist,@swiftsheenn,5
#TheFemaleArtist,@goodnightandoff,5
#TheFemaleArtist,@TaySpotify,5
#TheFemaleArtist,@TSwiftNZ,5
#TheFemaleArtist,@SwiftCheck13,5
#TheFemaleArtist,@wildestnights_,4
#TheFemaleArtist,@marlofasia,4
#TheFemaleArtist,@delicate_jjk,4
#TheFemaleArtist,@aleswtmix,4
#TheFemaleArtist,@Ferdreft,4
#TheFemaleArtist,@unlikeourfaves,4
#TheFemaleArtist,@07Lejindary,4
#TheFemaleArtist,@dikkirep,4
#TheFemaleArtist,@TBYANITA,4
#TheFemaleArtist,@diario_lunatico,4
#TheFemaleArtist,@fuckinDelicate,4
#TheFemaleArtist,@goldhst,4
#TheFemaleArtist,@REDoutsoldd,4
#TheFemaleArtist,@marslvatore,4
#TheFemaleArtist,@getawaycaarrr,4
#TheFemaleArtist,@chictayy,4
#TheFemaleArtist,@romaricharlz,4
#TheFemaleArtist,@folklordsaveme,4
#TheFemaleArtist,@TSvoteTeam,3
#TheFemaleArtist,@motherofsnakes_,3
#TheFemaleArtist,@taylornation13,3
